ortholog	function	Homo_sapiens	Mus_musculus
ENOG410V6AQ	solute carrier family 25 (mitochondrial folate carrier) , member 32	ENSP00000297578	ENSMUSP00000022908
ENOG410V6AV	solute carrier family 10 (sodium bile acid cotransporter family), member 6	ENSP00000273905	ENSMUSP00000031263
ENOG410V6AW	PTC7 protein phosphatase homolog (S. cerevisiae)	ENSP00000346255	ENSMUSP00000051838
ENOG410V6AT	GTP binding protein overexpressed in skeletal muscle	ENSP00000299759, ENSP00000297596	ENSMUSP00000034351, ENSMUSP00000029868
ENOG410V6AU	dishevelled, dsh homolog	ENSP00000316054, ENSP00000368169, ENSP00000005340	ENSMUSP00000003318, ENSMUSP00000019362, ENSMUSP00000030948
ENOG410V6AY	Zinc finger protein 7	ENSP00000320627	ENSMUSP00000023179
ENOG410VKF1	PET100 homolog (S. cerevisiae)	ENSP00000470539	ENSMUSP00000137626
ENOG410VGWK	zinc finger protein 787	ENSP00000270459	ENSMUSP00000092468
ENOG410VBZ1	sh2 domain containing	ENSP00000345295, ENSP00000265807	ENSMUSP00000070825, ENSMUSP00000093699
ENOG410VBZJ	dyskeratosis congenita 1, dyskerin	ENSP00000472996, ENSP00000358563	ENSMUSP00000033776
ENOG410V7DM	ISY1 splicing factor homolog (S. cerevisiae)	ENSP00000411822, ENSP00000273541	ENSMUSP00000086923
ENOG410V7DI	Sphingomyelin phosphodiesterase 2, neutral membrane (Neutral sphingomyelinase)	ENSP00000258052	ENSMUSP00000019965
ENOG410VEI4	glycoprotein integral membrane 1	ENSP00000356389	ENSMUSP00000040961
ENOG410VJH3	LYR motif containing 7	ENSP00000368688	ENSMUSP00000118373
ENOG410VJH2	Gastrin-releasing peptide	ENSP00000256857	ENSMUSP00000025395
ENOG410W1WG	Protein phosphatase 3 regulatory subunit B	ENSP00000234310	ENSMUSP00000099944
ENOG410V8PM	forkhead box	ENSP00000226247, ENSP00000299162, ENSP00000462216	ENSMUSP00000103929, ENSMUSP00000047951
ENOG410V8PK	chromosome 2 open reading frame 54	ENSP00000373586	ENSMUSP00000035332
ENOG410V8PJ	golgin B1	ENSP00000341848	ENSMUSP00000045239
ENOG410V8PI	cyclin G2	ENSP00000315743	ENSMUSP00000031331
ENOG410V8PH	kruppel-like factor	ENSP00000302456, ENSP00000366330	ENSMUSP00000045639, ENSMUSP00000067680
ENOG410V8PG	elastin microfibril interfacer 2	ENSP00000254528	ENSMUSP00000024849
ENOG410V8PF	Proteasome (Prosome, macropain) 26S subunit, ATPase, 5	ENSP00000310572	ENSMUSP00000021049
ENOG410V8PE	Calcineurin binding protein 1	ENSP00000263119	ENSMUSP00000001712
ENOG410V8PD	EGF domain-specific O-linked N-acetylglucosamine (GlcNAc) transferase	ENSP00000295571	ENSMUSP00000061610
ENOG410V8PC	G protein-coupled receptor 151	ENSP00000308733	ENSMUSP00000058887
ENOG410V8PB	Testis expressed 10	ENSP00000364037	ENSMUSP00000030030
ENOG410V8PA	UDP-GlcNAc beta-Gal beta-1,3-N-acetylglucosaminyltransferase	ENSP00000435352, ENSP00000321874, ENSP00000461169	ENSMUSP00000034260, ENSMUSP00000095879
ENOG410V8PY	potassium channel tetramerisation domain containing 14	ENSP00000316482	ENSMUSP00000060557
ENOG410V8PX	tektin 2 (testicular)	ENSP00000207457	ENSMUSP00000030658
ENOG410V8PW	Solute carrier family 30	ENSP00000355968, ENSP00000355893	ENSMUSP00000042410, ENSMUSP00000053181
ENOG410V8PV	Neuroblastoma amplified sequence	ENSP00000281513	ENSMUSP00000036082
ENOG410V8PU	Component of oligomeric Golgi complex 3	ENSP00000258654	ENSMUSP00000045016
ENOG410V8PT	Interleukin 1 receptor accessory protein-like	ENSP00000469497, ENSP00000344976, ENSP00000305200	ENSMUSP00000077915, ENSMUSP00000074917
ENOG410V8PS	Complement component 8, beta polypeptide	ENSP00000360281	ENSMUSP00000031663
ENOG410V8PQ	profilin	ENSP00000225655	ENSMUSP00000018437
ENOG410V8PP	JAZF zinc finger 1	ENSP00000283928	ENSMUSP00000074129
ENOG410V8P9	cannabinoid receptor 1 (brain)	ENSP00000358511	ENSMUSP00000055797
ENOG410V8P8	RUN domain containing 3A	ENSP00000410862	ENSMUSP00000006750
ENOG410V8P7	Multiple PDZ domain protein	ENSP00000360200, ENSP00000370410	ENSMUSP00000099894
ENOG410V8P4	zinc finger protein 865	ENSP00000457715	ENSMUSP00000075601
ENOG410V8P3	Cat eye syndrome chromosome region, candidate 5	ENSP00000337358	ENSMUSP00000074775
ENOG410V8P2	Ras interacting protein 1	ENSP00000222145	ENSMUSP00000062429
ENOG410V8P1	testis expressed 38	ENSP00000456635	ENSMUSP00000102131
ENOG410V8P0	Lysozyme-like	ENSP00000364650, ENSP00000364467	ENSMUSP00000025076
ENOG410VP09	leukocyte specific transcript 1	ENSP00000399411, ENSP00000409229, ENSP00000372978, ENSP00000403097, ENSP00000365261, ENSP00000396179, ENSP00000406455, ENSP00000398685	ENSMUSP00000094949
ENOG410VF3I	interleukin 19	ENSP00000343000	ENSMUSP00000016668
ENOG410VF3J	Chromosome 8 open reading frame 37	ENSP00000286688	ENSMUSP00000079361
ENOG410VF3N	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1	ENSP00000263182	ENSMUSP00000046302
ENOG410VF3C	Transmembrane protein 169	ENSP00000295658	ENSMUSP00000027380
ENOG410VF3E	mitochondrial ribosomal protein L1	ENSP00000315017	ENSMUSP00000037046
ENOG410VF3G	solute carrier family 16, member 11 (monocarboxylic acid transporter 11)	ENSP00000310490	ENSMUSP00000091597
ENOG410VF3P	ceroid-lipofuscinosis, neuronal 3	ENSP00000353073, ENSP00000454253	ENSMUSP00000032962
ENOG410VF3R	Transmembrane protein 176B	ENSP00000318409	ENSMUSP00000098972
ENOG410VF3T	Zinc finger protein 804B	ENSP00000329638	ENSMUSP00000130571
ENOG410VF3W	As a result of hemolysis, hemoglobin is found to accumulate in the kidney and is secreted in the urine. Haptoglobin captures, and combines with free plasma hemoglobin to allow hepatic recycling of heme iron and to prevent kidney damage. Haptoglobin also acts as an antioxidant, has antibacterial activity and plays a role in modulating many aspects of the acute phase response. Hemoglobin haptoglobin complexes are rapidely cleared by the macrophage CD163 scavenger receptor expressed on the surface of liver Kupfer cells through an endocytic lysosomal degradation pathway (By similarity)	ENSP00000441828, ENSP00000348170	ENSMUSP00000074436
ENOG410VF39	RAP1, GTP-GDP dissociation stimulator 1	ENSP00000340454	ENSMUSP00000096173
ENOG410VF30	PML-RARA regulated adaptor molecule 1	ENSP00000408342	ENSMUSP00000057065
ENOG410VF31	olfactory receptor, family 4, subfamily L, member 1	ENSP00000319217	ENSMUSP00000129254, ENSMUSP00000074546
ENOG410VF35	Centromere protein M	ENSP00000215980	ENSMUSP00000086560
ENOG410VMHN	DPH3, KTI11 homolog (S. cerevisiae)	ENSP00000419599	ENSMUSP00000022461
ENOG410WIFS	jumonji, AT rich interactive domain 2	ENSP00000341280	ENSMUSP00000037774
ENOG410WIFU	Aminoadipate-semialdehyde dehydrogenase	ENSP00000205214	ENSMUSP00000069279
ENOG410WIFH	Enoyl-CoA delta isomerase 1	ENSP00000301729	ENSMUSP00000024946
ENOG410VIQA	Centromere protein A	ENSP00000336868	ENSMUSP00000122831
ENOG410VIQJ	Protein phosphatase 1, regulatory (Inhibitor) subunit 14B	ENSP00000310117	ENSMUSP00000064129
ENOG410VIQU	synovial sarcoma, X	ENSP00000471753, ENSP00000366081, ENSP00000298396, ENSP00000364665, ENSP00000472663, ENSP00000366107, ENSP00000366118, ENSP00000471110, ENSP00000469011, ENSP00000298181, ENSP00000469394, ENSP00000470740, ENSP00000366131, ENSP00000366083, ENSP00000468985, ENSP00000470599	ENSMUSP00000111236, ENSMUSP00000086787, ENSMUSP00000099213, ENSMUSP00000100068, ENSMUSP00000023931, ENSMUSP00000037624, ENSMUSP00000111247, ENSMUSP00000111223, ENSMUSP00000072395, ENSMUSP00000111225, ENSMUSP00000086792, ENSMUSP00000100066, ENSMUSP00000121642
ENOG410VIQ4	Hemoglobin, theta 1	ENSP00000199708	ENSMUSP00000098936
ENOG410VCIG	Palmitoyl-protein thioesterase 1	ENSP00000394863	ENSMUSP00000030412
ENOG410VCIR	radial spoke 3 homolog (Chlamydomonas)	ENSP00000252655	ENSMUSP00000024572, ENSMUSP00000095034
ENOG410VGBR	REX4, RNA exonuclease 4 homolog (S. cerevisiae)	ENSP00000456472, ENSP00000361010	ENSMUSP00000109653
ENOG410VGBC	zinc finger protein 92	ENSP00000462054, ENSP00000469213	ENSMUSP00000033740
ENOG410VGBG	MAS-related GPR, member E	ENSP00000374482	ENSMUSP00000058000
ENOG410VGB0	Neurogenin 1	ENSP00000317580	ENSMUSP00000050484
ENOG410WFV2	ring finger protein 8, E3 ubiquitin protein ligase	ENSP00000362578	ENSMUSP00000024817
ENOG410VEZW	chromosome 1 open reading frame 170	ENSP00000414022	ENSMUSP00000101197
ENOG410VEZK	Chromosome 9 open reading frame 142	ENSP00000360682	ENSMUSP00000109899
ENOG410VID9	Peptidyl-prolyl cis-trans isomerase	ENSP00000370373, ENSP00000371138	ENSMUSP00000037206, ENSMUSP00000020964
ENOG410VID2	ribosomal protein	ENSP00000470079, ENSP00000404375	ENSMUSP00000059766
ENOG410VID3	natriuretic peptide C	ENSP00000295440	ENSMUSP00000027449
ENOG410VID0	polymerase (DNA directed), epsilon 3, accessory subunit	ENSP00000363284	ENSMUSP00000030091
ENOG410VID1	TEN1 telomerase capping complex subunit homolog (S. cerevisiae)	ENSP00000380762	ENSMUSP00000021130
ENOG410VID6	Transmembrane protein 52	ENSP00000311122	ENSMUSP00000136919
ENOG410VID7	Spindle and kinetochore associated complex subunit	ENSP00000407425, ENSP00000333433	ENSMUSP00000020794
ENOG410VID4	vesicle-associated membrane protein 4	ENSP00000236192	ENSMUSP00000051544
ENOG410VID5	Ribosomal protein S14	ENSP00000420714	ENSMUSP00000120075
ENOG410VIDZ	Morf4 family associated protein 1	ENSP00000318352	ENSMUSP00000137136, ENSMUSP00000067135
ENOG410VIDY	CD7 molecule	ENSP00000312027	ENSMUSP00000026159
ENOG410VIDW	protein (peptidyl-prolyl cis trans isomerase) NIMA-interacting, 4 (parvulin)	ENSP00000362773	ENSMUSP00000109257
ENOG410VIDT	tachykinin 3	ENSP00000300108	ENSMUSP00000026466
ENOG410VIDN	Chromosome 9 open reading frame 116	ENSP00000395281	ENSMUSP00000083557
ENOG410VIDF	Cystatin E M	ENSP00000311313	ENSMUSP00000025764
ENOG410VIDE	Transmembrane protein 230	ENSP00000341364	ENSMUSP00000028816
ENOG410V90V	heat shock 22kDa protein 8	ENSP00000281938	ENSMUSP00000037007
ENOG410V90W	Olfactory receptor	ENSP00000324534	ENSMUSP00000077542, ENSMUSP00000080193, ENSMUSP00000132942, ENSMUSP00000079060, ENSMUSP00000080589, ENSMUSP00000133780, ENSMUSP00000062434
ENOG410V90T	suppressor of cytokine signaling 7	ENSP00000464034, ENSP00000455646	ENSMUSP00000040896
ENOG410V90U	Eukaryotic translation initiation factor 2B, subunit 2 beta	ENSP00000266126	ENSMUSP00000004910
ENOG410V90R	TBC1 domain family, member 5	ENSP00000402935	ENSMUSP00000024717
ENOG410V90S	hydroxysteroid (11-beta) dehydrogenase	ENSP00000261465, ENSP00000407154	ENSMUSP00000016338
ENOG410V90P	ribosomal modification protein rimK-like family member	ENSP00000414330, ENSP00000350136	ENSMUSP00000058996, ENSMUSP00000064467
ENOG410V90Q	Rab interacting lysosomal protein-like 2	ENSP00000280571	ENSMUSP00000031347
ENOG410V90Z	zinc finger protein 498	ENSP00000334800	ENSMUSP00000091664
ENOG410V90X	enoyl-CoA delta isomerase 2	ENSP00000369461	ENSMUSP00000021853, ENSMUSP00000131735
ENOG410V90Y	Cytohesin 4	ENSP00000248901	ENSMUSP00000042698
ENOG410V90F	Chromosome 16 open reading frame 72	ENSP00000331720	ENSMUSP00000023150
ENOG410V90E	piggyBac transposable element derived	ENSP00000363242, ENSP00000387966, ENSP00000259883, ENSP00000331643	ENSMUSP00000097307
ENOG410V90C	transmembrane emp24-like trafficking protein 10 (yeast)	ENSP00000303145	ENSMUSP00000037583
ENOG410V90A	Ankyrin repeat domain 42	ENSP00000377051	ENSMUSP00000113767
ENOG410V90N	Neurogenic differentiation factor	ENSP00000306754	ENSMUSP00000041373
ENOG410V90M	ring finger protein 125, E3 ubiquitin protein ligase	ENSP00000217740	ENSMUSP00000058251
ENOG410V90J	f-box protein 9	ENSP00000244426	ENSMUSP00000001402
ENOG410V90K	Acyl-CoA binding domain containing 6	ENSP00000356567	ENSMUSP00000049124
ENOG410V90H	BRCA1-associated ATM activator 1	ENSP00000339637	ENSMUSP00000036016
ENOG410V90I	Nuclear apoptosis inducing factor 1	ENSP00000362170	ENSMUSP00000048764
ENOG410V906	Myb SANT-like DNA-binding domain containing 4 with coiled-coils	ENSP00000304713	ENSMUSP00000038267
ENOG410V907	Leukocyte receptor cluster (LRC) member 8	ENSP00000318374, ENSP00000459525, ENSP00000458940	ENSMUSP00000046465
ENOG410V904	regulation of protein glycosylation	ENSP00000223528	ENSMUSP00000061489
ENOG410V905	C-type lectin domain family 18, member	ENSP00000288040, ENSP00000341051, ENSP00000326538	ENSMUSP00000046546
ENOG410V902	ribophorin I	ENSP00000296255	ENSMUSP00000032143
ENOG410V903	olfactory receptor, family 10, subfamily J, member 3	ENSP00000331789	ENSMUSP00000053317
ENOG410V900	melanoma antigen, family B	ENSP00000314543, ENSP00000368304	ENSMUSP00000085460
ENOG410V901	cyclin B1 interacting protein 1, E3 ubiquitin protein ligase	ENSP00000337396	ENSMUSP00000093622
ENOG410V908	Cdk5 and Abl enzyme substrate	ENSP00000256925, ENSP00000279101	ENSMUSP00000104519, ENSMUSP00000129463
ENOG410V909	leucine-rich repeat, immunoglobulin-like and transmembrane domains 2	ENSP00000361185	ENSMUSP00000056642
ENOG410VE55	Lysophosphatidylglycerol acyltransferase 1	ENSP00000355963	ENSMUSP00000106480
ENOG410VE54	kiaa0141	ENSP00000194118	ENSMUSP00000025314
ENOG410VE56	RAB28, member RAS oncogene family	ENSP00000328551	ENSMUSP00000031011
ENOG410VE51	KAT8 regulatory NSL complex subunit 1-like	ENSP00000281772	ENSMUSP00000063843
ENOG410VE50	phospholipase C, zeta 1	ENSP00000266505	ENSMUSP00000032356
ENOG410VE53	SAC3 domain containing 1	ENSP00000381824	ENSMUSP00000109161
ENOG410VE58	RNA binding motif protein 28	ENSP00000223073	ENSMUSP00000007993
ENOG410VE5U	F-box and leucine-rich repeat protein 5	ENSP00000344866	ENSMUSP00000045792
ENOG410VE5V	mitochondrial ribosomal protein, L48	ENSP00000308717	ENSMUSP00000116090
ENOG410VE5Q	Complement component 1, q subcomponent, A chain	ENSP00000363773	ENSMUSP00000048836
ENOG410VE5P	Alstrom syndrome 1	ENSP00000264448	ENSMUSP00000071904
ENOG410VE5Y	BPI fold containing family A, member 3	ENSP00000364603	ENSMUSP00000028984
ENOG410VE5X	ES cell expressed Ras	ENSP00000339136, ENSP00000470632	ENSMUSP00000033500
ENOG410VE5E	NIPA-like domain containing 3	ENSP00000363520	ENSMUSP00000099608
ENOG410VE5D	homeobox	ENSP00000376322, ENSP00000243056	ENSMUSP00000001700, ENSMUSP00000001872
ENOG410VE5F	Exosome component 5	ENSP00000221233	ENSMUSP00000078580
ENOG410VE5A	chromosome 19 open reading frame 57	ENSP00000254336	ENSMUSP00000113651
ENOG410VE5C	Sad1 and UNC84 domain containing 5	ENSP00000348496	ENSMUSP00000028982
ENOG410VE5K	ribonuclease P MRP 38kDa subunit	ENSP00000367439	ENSMUSP00000050992
ENOG410VE5J	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors	ENSP00000454651, ENSP00000342343	ENSMUSP00000015920
ENOG410V7A9	Rh blood group	ENSP00000294413, ENSP00000331871	ENSMUSP00000030627
ENOG410V7A7	vitamin D (1,25- dihydroxyvitamin D3) receptor	ENSP00000447173	ENSMUSP00000023119
ENOG410V7A5	Cadherins are calcium dependent cell adhesion proteins (By similarity)	ENSP00000265071, ENSP00000264463, ENSP00000231021	ENSMUSP00000037113, ENSMUSP00000042199, ENSMUSP00000026432
ENOG410V7A4	Serine threonine kinase	ENSP00000361892, ENSP00000390500	ENSMUSP00000018476, ENSMUSP00000018353
ENOG410V7A3	thymocyte selection associated	ENSP00000363031, ENSP00000439594	ENSMUSP00000060129, ENSMUSP00000036945
ENOG410V7A2	TP53 regulating kinase	ENSP00000361186	ENSMUSP00000115353, ENSMUSP00000045141
ENOG410V7A1	serine palmitoyltransferase, long chain base subunit	ENSP00000381968, ENSP00000216484	ENSMUSP00000048313, ENSMUSP00000021424
ENOG410V7A0	Pericentrin	ENSP00000352572	ENSMUSP00000001179
ENOG410V7AM	Triose-phosphate isomerase	ENSP00000229270, ENSP00000469782	ENSMUSP00000130858
ENOG410V7AK	PaNtothenate Kinase	ENSP00000313377, ENSP00000239231, ENSP00000302108	ENSMUSP00000119606, ENSMUSP00000018990, ENSMUSP00000043562
ENOG410V7AI	Suppressor of Ty 3 homolog (S. cerevisiae)	ENSP00000360515	ENSMUSP00000050783
ENOG410V7AH	ADAM metallopeptidase with thrombospondin type 1, motif	ENSP00000362304	ENSMUSP00000090143
ENOG410V7AG	Run and fyve domain containing	ENSP00000373420, ENSP00000325594, ENSP00000370394	ENSMUSP00000031229, ENSMUSP00000113429, ENSMUSP00000020643
ENOG410V7AF	Tumor protein D52-like 1	ENSP00000434142	ENSMUSP00000000305
ENOG410V7AE	Anoctamin	ENSP00000256737, ENSP00000409126, ENSP00000376705, ENSP00000471210, ENSP00000347454, ENSP00000274979, ENSP00000314048, ENSP00000315371	ENSMUSP00000043478, ENSMUSP00000046884, ENSMUSP00000071770, ENSMUSP00000097219, ENSMUSP00000113899, ENSMUSP00000050495, ENSMUSP00000125303
ENOG410V7AD	(DC) complex that phosphorylates and inhibits members of the retinoblastoma (RB) protein family including RB1 and regulates the cell-cycle during G(1) S transition. Phosphorylation of RB1 allows dissociation of the transcription factor E2F from the RB E2F complex and the subsequent transcription of E2F target genes which are responsible for the progression through the G(1) phase. Hypophosphorylates RB1 in early G(1) phase. Cyclin D-CDK4 complexes are major integrators of various mitogenenic and antimitogenic signals. Also substrate for SMAD3, phosphorylating SMAD3 in a cell-cycle-dependent manner and repressing its transcriptional activity. Component of the ternary complex, cyclin	ENSP00000362082, ENSP00000227507, ENSP00000261254	ENSMUSP00000040488, ENSMUSP00000091495, ENSMUSP00000000188
ENOG410V7AC	chromosome 1 open reading frame 129	ENSP00000356733	ENSMUSP00000094365
ENOG410V7AB	G protein-coupled receptor 97	ENSP00000332900	ENSMUSP00000051079
ENOG410V7AA	dual adaptor of phosphotyrosine and 3-phosphoinositides	ENSP00000423602	ENSMUSP00000029806
ENOG410V7AZ	acyl-Coenzyme A oxidase	ENSP00000293217, ENSP00000307697	ENSMUSP00000022271, ENSMUSP00000063325
ENOG410V7AX	pyruvate dehydrogenase complex	ENSP00000227868, ENSP00000461764, ENSP00000280346	ENSMUSP00000011058, ENSMUSP00000034567
ENOG410V7AW	Olfactory receptor	ENSP00000369731, ENSP00000352305, ENSP00000369729	ENSMUSP00000095817, ENSMUSP00000095814
ENOG410V7AV	Essential component of the PAM complex, a complex required for the translocation of transit peptide-containing proteins from the inner membrane into the mitochondrial matrix in an ATP-dependent manner (By similarity)	ENSP00000264954	ENSMUSP00000031099
ENOG410V7AU	glycosyltransferase 6 domain containing 1	ENSP00000360829	ENSMUSP00000048642, ENSMUSP00000030585, ENSMUSP00000049408, ENSMUSP00000028243
ENOG410V7AT	THUMP domain containing 3	ENSP00000339532	ENSMUSP00000032398
ENOG410V7AS	stem-loop binding protein	ENSP00000417686	ENSMUSP00000062930
ENOG410V7AR	creb3 regulatory factor	ENSP00000296953	ENSMUSP00000059102
ENOG410V7AQ	Ribosomal protein s6	ENSP00000351086, ENSP00000355927	ENSMUSP00000019379
ENOG410V7AP	Cbp p300-interacting transactivator, with Glu Asp-rich carboxy-terminal domain, 1	ENSP00000388548	ENSMUSP00000051789
ENOG410VDB5	Lysophosphatidic acid receptor 5	ENSP00000327875	ENSMUSP00000085630
ENOG410VDB6	CD151 molecule (Raph blood group)	ENSP00000261177, ENSP00000324101	ENSMUSP00000032501, ENSMUSP00000061636
ENOG410VDB1	proline-rich transmembrane protein 3	ENSP00000295984	ENSMUSP00000098620
ENOG410VDB0	mitochondrial ribosomal protein, S18A	ENSP00000361206	ENSMUSP00000024763
ENOG410VDB3	homeobox B13	ENSP00000290295	ENSMUSP00000056315
ENOG410VDB2	Shc SH2-domain binding protein	ENSP00000306473, ENSP00000356518	ENSMUSP00000036347, ENSMUSP00000022945
ENOG410VDBD	XK, Kell blood group complex subunit-related family, member 9	ENSP00000386141	ENSMUSP00000085900
ENOG410VDBG	chromosome 19 open reading frame 44	ENSP00000221671	ENSMUSP00000063244
ENOG410VDBA	regulator of G-protein signaling like 1	ENSP00000457748	ENSMUSP00000135642
ENOG410VDBC	Fibronectin type III domain containing 4	ENSP00000264703	ENSMUSP00000047185
ENOG410VDBB	Nitrilase family, member 2	ENSP00000377696	ENSMUSP00000023432
ENOG410VDBN	uveal autoantigen with coiled-coil domains and ankyrin repeats	ENSP00000314556	ENSMUSP00000062047
ENOG410VDBI	Olfactory receptor	ENSP00000324958	ENSMUSP00000097376, ENSMUSP00000097373, ENSMUSP00000097396
ENOG410VDBK	Family with sequence similarity 100, member A	ENSP00000283474	ENSMUSP00000037809
ENOG410VDBJ	iduronidase, alpha-L	ENSP00000247933	ENSMUSP00000071577
ENOG410VDBU	dCTP pyrophosphatase 1	ENSP00000322524	ENSMUSP00000047845
ENOG410VDBV	jagunal homolog 1 (Drosophila)	ENSP00000306106	ENSMUSP00000098631
ENOG410VDBP	Twisted gastrulation homolog 1 (Drosophila)	ENSP00000262120	ENSMUSP00000024906
ENOG410VDBS	RCC1 domain containing 1	ENSP00000377801	ENSMUSP00000048043
ENOG410VDBY	RING1 and YY1 binding protein	ENSP00000419494	ENSMUSP00000098677
ENOG410VDBX	six transmembrane epithelial antigen of the prostate 1	ENSP00000297205	ENSMUSP00000015796
ENOG410VMAF	Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(1) domain and of the central stalk which is part of the complex rotary element. Rotation of the central stalk against the surrounding alpha(3)beta(3) subunits leads to hydrolysis of ATP in three separate catalytic sites on the beta subunits	ENSP00000370414, ENSP00000243997	ENSMUSP00000016396
ENOG410V69Y	chromosome 10 open reading frame 12	ENSP00000286067	ENSMUSP00000128083
ENOG410V69R	Protein phosphatase 1, regulatory subunit	ENSP00000234038	ENSMUSP00000027494
ENOG410V69S	ectopic P-granules autophagy protein 5 homolog (C. elegans)	ENSP00000282041	ENSMUSP00000038681
ENOG410V69P	Breast cancer metastasis-suppressor 1-like	ENSP00000216807	ENSMUSP00000082500
ENOG410V69Q	OTU domain containing 6A	ENSP00000339389	ENSMUSP00000059861
ENOG410V69T	5-methyltetrahydrofolate-homocysteine methyltransferase	ENSP00000355536	ENSMUSP00000097442
ENOG410V69U	ADAM metallopeptidase with thrombospondin type 1, motif	ENSP00000299164, ENSP00000282849, ENSP00000418735, ENSP00000422554, ENSP00000459941, ENSP00000374071, ENSP00000373472, ENSP00000370443, ENSP00000356975, ENSP00000274181, ENSP00000270328, ENSP00000284984	ENSMUSP00000064570, ENSMUSP00000084905, ENSMUSP00000057796, ENSMUSP00000126498, ENSMUSP00000023610, ENSMUSP00000108683, ENSMUSP00000006570, ENSMUSP00000090801, ENSMUSP00000079041, ENSMUSP00000067022, ENSMUSP00000036330
ENOG410V69J	Charged multivesicular body protein 2B	ENSP00000263780	ENSMUSP00000004965
ENOG410V69K	pleckstrin homology domain containing, family G (with RhoGef domain) member	ENSP00000351318, ENSP00000247226	ENSMUSP00000040495, ENSMUSP00000074729
ENOG410V69I	Enhancer of mRNA decapping 4	ENSP00000351811	ENSMUSP00000113854
ENOG410V69N	Ubiquitin-like domain containing CTD phosphatase 1	ENSP00000296786	ENSMUSP00000099859
ENOG410V69M	dopamine beta-hydroxylase (dopamine beta-monooxygenase)	ENSP00000376776, ENSP00000356940	ENSMUSP00000031937, ENSMUSP00000000910, ENSMUSP00000093460
ENOG410V69B	v-crk sarcoma virus CT10 oncogene homolog	ENSP00000346300, ENSP00000300574	ENSMUSP00000006293, ENSMUSP00000017920
ENOG410V69A	Chromatin licensing and DNA replication factor 1	ENSP00000301019	ENSMUSP00000006760
ENOG410V69F	ligase 1	ENSP00000358283	ENSMUSP00000100059
ENOG410V69G	sorting nexin 19	ENSP00000265909	ENSMUSP00000131895
ENOG410V69D	SH3-domain GRB2-like endophilin	ENSP00000361640, ENSP00000418744	ENSMUSP00000129800, ENSMUSP00000028214
ENOG410V698	Zinc finger protein	ENSP00000471308, ENSP00000418897	ENSMUSP00000061524
ENOG410V692	absent in melanoma	ENSP00000182096, ENSP00000358062, ENSP00000433931	ENSMUSP00000020017, ENSMUSP00000114099, ENSMUSP00000137452
ENOG410V693	Dual specificity phosphatase	ENSP00000333917	ENSMUSP00000026018, ENSMUSP00000057346
ENOG410V690	Olfactory receptor	ENSP00000355441, ENSP00000398851, ENSP00000230221, ENSP00000350248, ENSP00000400501, ENSP00000403553, ENSP00000389802, ENSP00000366365, ENSP00000408647, ENSP00000283225	ENSMUSP00000076449, ENSMUSP00000092917, ENSMUSP00000055221, ENSMUSP00000063538, ENSMUSP00000075669, ENSMUSP00000076203, ENSMUSP00000077662, ENSMUSP00000082684, ENSMUSP00000076973, ENSMUSP00000079121, ENSMUSP00000068650
ENOG410V691	RAS-like family 11 member A	ENSP00000241463	ENSMUSP00000031646
ENOG410V694	tubby like protein 4	ENSP00000356064	ENSMUSP00000049248
ENOG410V4A8	solute carrier family 30 (zinc transporter), member	ENSP00000350278, ENSP00000379836	ENSMUSP00000065764, ENSMUSP00000065254
ENOG410V4A9	solute carrier family 25 (mitochondrial carrier)	ENSP00000342267, ENSP00000239451	ENSMUSP00000033871
ENOG410V4A4	BCL2 binding component 3	ENSP00000404503	ENSMUSP00000002152
ENOG410V4A5	protein phosphatase 5, catalytic subunit	ENSP00000012443	ENSMUSP00000003183
ENOG410V4A6	peripherin 2 (retinal degeneration, slow)	ENSP00000230381	ENSMUSP00000024773
ENOG410V4A0	Methyltransferase like 17	ENSP00000372445	ENSMUSP00000047720
ENOG410V4AT	Gigaxonin	ENSP00000248272	ENSMUSP00000070168
ENOG410V4AP	Required for meiotic nuclear division 5 homolog	ENSP00000283632, ENSP00000320623	ENSMUSP00000002292, ENSMUSP00000001081
ENOG410V4AS	fibroblast growth factor binding protein 3	ENSP00000339067	ENSMUSP00000059682
ENOG410V4AN	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6	ENSP00000291839	ENSMUSP00000071983
ENOG410V4AJ	SWIM-type zinc finger 7 associated protein 1	ENSP00000310008	ENSMUSP00000060331
ENOG410V4AK	cysteine histidine-rich 1	ENSP00000387426	ENSMUSP00000080043
