ortholog	function	Pan_troglodytes	Mus_musculus
ENOG410V9SF	carbohydrate (chondroitin 4) sulfotransferase	ENSPTRP00000009136, ENSPTRP00000026434	ENSMUSP00000045349, ENSMUSP00000064897
ENOG410V9SE	PRP39 pre-mRNA processing factor 39 homolog (S. cerevisiae)	ENSPTRP00000044474	ENSMUSP00000112953
ENOG410V9SD	Tachykinin receptor	ENSPTRP00000046115, ENSPTRP00000020773, ENSPTRP00000028058	ENSMUSP00000032122, ENSMUSP00000020278, ENSMUSP00000029822
ENOG410V9SK	SLAIN motif family member 2	ENSPTRP00000027602	ENSMUSP00000115871
ENOG410V9SI	corin, serine peptidase	ENSPTRP00000027587	ENSMUSP00000005352
ENOG410V9SH	Meteorin, glial cell differentiation regulator	ENSPTRP00000012904	ENSMUSP00000002344
ENOG410V9SN	Ankyrin repeat and SOCS box containing	ENSPTRP00000041419, ENSPTRP00000022408	ENSMUSP00000033549, ENSMUSP00000027538
ENOG410V9SM	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln) (By similarity)	ENSPTRP00000028352	ENSMUSP00000119949
ENOG410V9S3	phosphatidylinositol-4-phosphate 5-kinase-like 1	ENSPTRP00000048893	ENSMUSP00000051282
ENOG410V9S2	Acyl-CoA binding domain containing 5	ENSPTRP00000004036	ENSMUSP00000110175
ENOG410V9S1	oncostatin M receptor	ENSPTRP00000028824	ENSMUSP00000022746
ENOG410V9S7	cytochrome b reductase 1	ENSPTRP00000021592	ENSMUSP00000028403
ENOG410V9S6	Sterol carrier protein 2	ENSPTRP00000001282	ENSMUSP00000030340
ENOG410V9S5	Olfactory receptor	ENSPTRP00000050812, ENSPTRP00000006268	ENSMUSP00000097429, ENSMUSP00000097430
ENOG410V9S9	cytochrome P450	ENSPTRP00000052026	ENSMUSP00000034874, ENSMUSP00000047954
ENOG410VET6	Gastrokine 2	ENSPTRP00000020619	ENSMUSP00000032128
ENOG410VET2	EF-hand calcium binding domain 13	ENSPTRP00000015863	ENSMUSP00000116040
ENOG410VET3	chromosome 15 open reading frame 43	ENSPTRP00000012009	ENSMUSP00000028661
ENOG410VETR	UDP-N-acetylglucosamine transferase subunit Alg13	ENSPTRP00000038197	ENSMUSP00000068403, ENSMUSP00000033643
ENOG410VETS	Transmembrane protein 98	ENSPTRP00000015346	ENSMUSP00000042825
ENOG410VETP	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	ENSPTRP00000049674	ENSMUSP00000094076
ENOG410VETZ	alkB, alkylation repair homolog 3 (E. coli)	ENSPTRP00000006115	ENSMUSP00000038721
ENOG410VETF	NLR family, pyrin domain containing 10	ENSPTRP00000005809	ENSMUSP00000050252
ENOG410VETE	Kelch domain containing 9	ENSPTRP00000002630	ENSMUSP00000056212
ENOG410VETC	BCL2-like 15	ENSPTRP00000001936	ENSMUSP00000052210
ENOG410VETN	cation channel, sperm associated 3	ENSPTRP00000029512	ENSMUSP00000021961
ENOG410VETM	ring finger protein 215	ENSPTRP00000024528	ENSMUSP00000003677
ENOG410VETK	cysteine tyrosine-rich 1	ENSPTRP00000023796	ENSMUSP00000109811
ENOG410VETH	Cleavage and polyadenylation specific factor 4-like	ENSPTRP00000016303	ENSMUSP00000097819
ENOG410VETI	zinc finger protein 57 homolog (mouse)	ENSPTRP00000030530	ENSMUSP00000065811
ENOG410VNYD	Defensin alpha	ENSPTRP00000053249	ENSMUSP00000093074, ENSMUSP00000081053, ENSMUSP00000074745, ENSMUSP00000096491
ENOG410VNY3	Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(0) domain. Minor subunit located with subunit a in the membrane (By similarity)	ENSPTRP00000061400	ENSMUSP00000080995
ENOG410WCZ2	Collagen, type I, alpha 1	ENSPTRP00000015952	ENSMUSP00000023123
ENOG410VJ71	NADH dehydrogenase (Ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase)	ENSPTRP00000000990	ENSMUSP00000030401
ENOG410VJ75	coiled-coil-helix-coiled-coil-helix domain containing 7	ENSPTRP00000039332	ENSMUSP00000041196
ENOG410VJ7X	Stimulator of chondrogenesis 1	ENSPTRP00000028486	ENSMUSP00000034023
ENOG410VJ7Z	LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae)	ENSPTRP00000032568	ENSMUSP00000126565
ENOG410VJ7R	Thiosulfate sulfurtransferase (Rhodanese)-like domain containing 1	ENSPTRP00000057759	ENSMUSP00000132771
ENOG410VJ7S	GTP cyclohydrolase I feedback regulator	ENSPTRP00000011828	ENSMUSP00000060835
ENOG410VJ7V	Unknown	ENSPTRP00000060872	ENSMUSP00000136951
ENOG410VJ7I	SMT3 suppressor of mif two 3 homolog	ENSPTRP00000024078, ENSPTRP00000060506	ENSMUSP00000115044, ENSMUSP00000020501
ENOG410VJ7J	melanoma antigen recognized by T-cells	ENSPTRP00000035513	ENSMUSP00000025719
ENOG410VJ7A	ATPase, H transporting, lysosomal 13kDa, V1 subunit G3	ENSPTRP00000003029	ENSMUSP00000027643
ENOG410VJ7C	Chemokine (C-C motif) ligand	ENSPTRP00000035735	ENSMUSP00000136267, ENSMUSP00000137149, ENSMUSP00000136903, ENSMUSP00000137398, ENSMUSP00000092732, ENSMUSP00000137555, ENSMUSP00000095727, ENSMUSP00000136780, ENSMUSP00000095732
ENOG410V6QC	Olfactory receptor	ENSPTRP00000012845, ENSPTRP00000053899, ENSPTRP00000012846	ENSMUSP00000058587, ENSMUSP00000097193, ENSMUSP00000097203, ENSMUSP00000097196, ENSMUSP00000097197, ENSMUSP00000097204, ENSMUSP00000051938, ENSMUSP00000097202, ENSMUSP00000097201, ENSMUSP00000097199
ENOG410V5T6	Spi-B transcription factor (Spi-1 PU.1 related)	ENSPTRP00000019475	ENSMUSP00000035539
ENOG410V5T5	kiaa1217	ENSPTRP00000056557	ENSMUSP00000110274
ENOG410V5T2	Phosphoglycerate mutase	ENSPTRP00000032683, ENSPTRP00000004915	ENSMUSP00000020768, ENSMUSP00000011896
ENOG410V5TC	Sodium hydrogen exchanger	ENSPTRP00000028611, ENSPTRP00000040153, ENSPTRP00000021080, ENSPTRP00000021079	ENSMUSP00000030669, ENSMUSP00000027231, ENSMUSP00000072893, ENSMUSP00000038142, ENSMUSP00000027233
ENOG410V5TA	NSA2 ribosome biogenesis homolog (S. cerevisiae)	ENSPTRP00000029097	ENSMUSP00000073161
ENOG410V5TK	Spinster homolog	ENSPTRP00000045416, ENSPTRP00000014669, ENSPTRP00000042514	ENSMUSP00000044418, ENSMUSP00000032994, ENSMUSP00000090617
ENOG410V5TW	nuclear receptor subfamily 2 group E member 3	ENSPTRP00000012380	ENSMUSP00000034831
ENOG410V5TP	lysophosphatidic acid acyltransferase	ENSPTRP00000030753, ENSPTRP00000048655	ENSMUSP00000048573, ENSMUSP00000028286
ENOG410V5TX	adenylate cyclase	ENSPTRP00000026385, ENSPTRP00000013831, ENSPTRP00000032741, ENSPTRP00000010553, ENSPTRP00000008355, ENSPTRP00000020130, ENSPTRP00000035203	ENSMUSP00000020984, ENSMUSP00000002398, ENSMUSP00000023007, ENSMUSP00000022013, ENSMUSP00000096122, ENSMUSP00000110563, ENSMUSP00000093939, ENSMUSP00000020706
ENOG410V6WT	Deoxyuridine triphosphatase	ENSPTRP00000051511	ENSMUSP00000080767
ENOG410V6WU	interferon regulatory factor 7	ENSPTRP00000005508	ENSMUSP00000026571
ENOG410V8PZ	chromosome 11 open reading frame 80	ENSPTRP00000045709	ENSMUSP00000136515
ENOG410V6WX	Dehydrogenase reductase (SDR family) X-linked	ENSPTRP00000058323	ENSMUSP00000076472
ENOG410V6WY	zinc finger and BTB domain containing 8a	ENSPTRP00000059535	ENSMUSP00000030610
ENOG410V6WZ	Peptidase M20 domain containing 1	ENSPTRP00000003193	ENSMUSP00000046079
ENOG410V6WI	uracil phosphoribosyltransferase (FUR1) homolog (S. cerevisiae)	ENSPTRP00000037904	ENSMUSP00000085175
ENOG410VAYT	acyl-CoA dehydrogenase, long chain	ENSPTRP00000022015	ENSMUSP00000027153
ENOG410VAYV	family with sequence similarity 203, member	ENSPTRP00000035379	ENSMUSP00000023213
ENOG410VAYZ	kiaa0528	ENSPTRP00000008137	ENSMUSP00000107388
ENOG410VAY6	Protein disulfide isomerase family A, member 6	ENSPTRP00000020036	ENSMUSP00000052912
ENOG410VAY1	WD repeat domain 33	ENSPTRP00000021298	ENSMUSP00000025264
ENOG410V91H	Pleckstrin homology domain containing, family A (Phosphoinositide binding specific) member	ENSPTRP00000032524, ENSPTRP00000021689	ENSMUSP00000107551, ENSMUSP00000112466
ENOG410V9H9	pre-B-cell leukemia homeobox interacting protein 1	ENSPTRP00000051740	ENSMUSP00000040429
ENOG410V9H6	fibroblast growth factor	ENSPTRP00000027084, ENSPTRP00000010216	ENSMUSP00000093185, ENSMUSP00000097601
ENOG410VASZ	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	ENSPTRP00000055877	ENSMUSP00000062039
ENOG410VASY	olfactory receptor, family 10, subfamily J, member	ENSPTRP00000002563	ENSMUSP00000041524, ENSMUSP00000052418
ENOG410VASX	UPF2 regulator of nonsense transcripts homolog (yeast)	ENSPTRP00000003873	ENSMUSP00000058375
ENOG410VASS	N-ethylmaleimide-sensitive factor	ENSPTRP00000015850	ENSMUSP00000099364
ENOG410VASR	Thyroglobulin	ENSPTRP00000035225	ENSMUSP00000070239
ENOG410VASQ	DEP domain containing MTOR-interacting protein	ENSPTRP00000035125	ENSMUSP00000094167
ENOG410VASP	Coiled-coil domain containing 93	ENSPTRP00000021223	ENSMUSP00000043442
ENOG410VASW	PiggyBac transposable element derived 5	ENSPTRP00000003540	ENSMUSP00000054788
ENOG410VASV	U2AF homology motif (UHM) kinase 1	ENSPTRP00000002674	ENSMUSP00000027979
ENOG410VASK	Potassium voltage-gated channel subfamily G member 3	ENSPTRP00000020372	ENSMUSP00000054910
ENOG410VASJ	G protein-coupled receptor 22	ENSPTRP00000047702	ENSMUSP00000056125
ENOG410VASI	Kelch-like 15 (Drosophila)	ENSPTRP00000044260	ENSMUSP00000109548
ENOG410VASH	chromosome 17 open reading frame 85	ENSPTRP00000014643	ENSMUSP00000021135
ENOG410VASN	chromosome 9 open reading frame 41	ENSPTRP00000035948	ENSMUSP00000025632
ENOG410VASM	Participates in the reverse transport of cholesterol from tissues to the liver for excretion by promoting cholesterol efflux from tissues and by acting as a cofactor for the lecithin cholesterol acyltransferase (LCAT). As part of the SPAP complex, activates spermatozoa motility	ENSPTRP00000007404	ENSMUSP00000034588
ENOG410VASC	coiled-coil domain containing 149	ENSPTRP00000027476	ENSMUSP00000062411
ENOG410VASA	zinc finger protein, multitype 1	ENSPTRP00000014414	ENSMUSP00000058037
ENOG410VASG	Eukaryotic translation initiation factor 5B	ENSPTRP00000051806	ENSMUSP00000027252
ENOG410VASF	RNA binding motif protein 44	ENSPTRP00000022379	ENSMUSP00000092286
ENOG410VASE	Lipoma HMGIC fusion partner-like 2	ENSPTRP00000029144	ENSMUSP00000062239
ENOG410VASD	Apoptosis-inducing factor, mitochondrion-associated, 1	ENSPTRP00000038338	ENSMUSP00000041104
ENOG410VAS2	chromosome 3 open reading frame 58	ENSPTRP00000026670	ENSMUSP00000108651
ENOG410VAS1	apolipoprotein l	ENSPTRP00000049697, ENSPTRP00000024641, ENSPTRP00000024631, ENSPTRP00000060537	ENSMUSP00000094085, ENSMUSP00000086894, ENSMUSP00000118257, ENSMUSP00000050745, ENSMUSP00000010745, ENSMUSP00000064237
ENOG410VAS0	core-binding factor beta subunit	ENSPTRP00000060319	ENSMUSP00000059382
ENOG410VAS6	SET domain containing 6	ENSPTRP00000013971	ENSMUSP00000034096
ENOG410VAS5	human immunodeficiency virus type I enhancer binding protein 1	ENSPTRP00000050586	ENSMUSP00000056147
ENOG410VAS4	Chromosome 1 open reading frame 35	ENSPTRP00000003490	ENSMUSP00000020719
ENOG410V9HI	phosphatidylinositol-4-phosphate 5-kinase type I	ENSPTRP00000002179, ENSPTRP00000043523, ENSPTRP00000017459	ENSMUSP00000025800, ENSMUSP00000102855, ENSMUSP00000100964
ENOG410V9HF	general transcription factor IIF, polypeptide 2	ENSPTRP00000040063	ENSMUSP00000086312
ENOG410V9HG	cylindromatosis (turban tumor syndrome)	ENSPTRP00000013840	ENSMUSP00000096119
ENOG410V9HD	ORM1-like 2 (S. cerevisiae)	ENSPTRP00000008619	ENSMUSP00000026409
ENOG410V9HC	Family with sequence similarity 3, member A	ENSPTRP00000038685	ENSMUSP00000015427
ENOG410VGI9	transmembrane protein 158	ENSPTRP00000060376	ENSMUSP00000069161
ENOG410VM38	Cortistatin	ENSPTRP00000044017	ENSMUSP00000030815
ENOG410V6QK	protein phosphatase 2, regulatory subunit A	ENSPTRP00000019597, ENSPTRP00000007340	ENSMUSP00000034560, ENSMUSP00000007708
ENOG410VFS3	sebox homeobox	ENSPTRP00000015216	ENSMUSP00000001130
ENOG410VFS6	SLAM family member 8	ENSPTRP00000002578	ENSMUSP00000067527
ENOG410VFSH	SH3 domain containing 21	ENSPTRP00000055432	ENSMUSP00000095501
ENOG410VFSJ	Caspase 12	ENSPTRP00000047678	ENSMUSP00000027009
ENOG410VFSC	mediator complex subunit 30	ENSPTRP00000035106	ENSMUSP00000042204
ENOG410VFSD	HCLS1 binding protein 3	ENSPTRP00000020095	ENSMUSP00000020927
ENOG410VFSG	coiled-coil domain containing 86	ENSPTRP00000006403	ENSMUSP00000025639
ENOG410VFSZ	IGF-like family receptor 1	ENSPTRP00000018592	ENSMUSP00000042312
ENOG410VFSQ	Transmembrane protein 150C	ENSPTRP00000060714	ENSMUSP00000057116
ENOG410VFSS	testis expressed 15	ENSPTRP00000034478	ENSMUSP00000009772
ENOG410WJMT	Armadillo repeat containing 2	ENSPTRP00000031559	ENSMUSP00000093397
ENOG410VKIA	IQ motif containing J	ENSPTRP00000059429	ENSMUSP00000069544
ENOG410VKIJ	guanylate cyclase activator 2B (uroguanylin)	ENSPTRP00000001043	ENSMUSP00000043203
ENOG410VKII	translocase of outer mitochondrial membrane 6 homolog (yeast)	ENSPTRP00000057116	ENSMUSP00000108926
ENOG410VKIM	NADH dehydrogenase (ubiquinone) 1 beta subcomplex	ENSPTRP00000037483	ENSMUSP00000112320, ENSMUSP00000074190
ENOG410VKI0	Zinc finger protein	ENSPTRP00000035020	ENSMUSP00000077996
ENOG410VKI5	Cytochrome c oxidase subunit	ENSPTRP00000027575, ENSPTRP00000037925	ENSMUSP00000033582
ENOG410VKI4	Selenoprotein W, 1	ENSPTRP00000058758	ENSMUSP00000038943
ENOG410V8GE	Chromosome 19 open reading frame 66	ENSPTRP00000017812	ENSMUSP00000045384
ENOG410V8GU	F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase	ENSPTRP00000028353	ENSMUSP00000103305
ENOG410VDI6	Trichorhinophalangeal syndrome I	ENSPTRP00000035099	ENSMUSP00000077089
ENOG410VDI0	SET domain containing 4	ENSPTRP00000023895	ENSMUSP00000023669
ENOG410VDI2	Claudin 19	ENSPTRP00000001060	ENSMUSP00000081334
ENOG410V55E	Tetratricopeptide repeat domain 4	ENSPTRP00000001344	ENSMUSP00000026480
ENOG410V55G	aftiphilin	ENSPTRP00000020580	ENSMUSP00000036778
ENOG410V55F	ACEtylcholinesterase	ENSPTRP00000046302, ENSPTRP00000026833	ENSMUSP00000024099, ENSMUSP00000029367
ENOG410V55A	Holocytochrome c synthase	ENSPTRP00000037105	ENSMUSP00000033717
ENOG410V55B	kelch-like 21 (Drosophila)	ENSPTRP00000044105	ENSMUSP00000095380
ENOG410V55N	lymphocyte cytosolic protein 1 (L-plastin)	ENSPTRP00000009959, ENSPTRP00000038219, ENSPTRP00000026659	ENSMUSP00000091317, ENSMUSP00000033547, ENSMUSP00000116271
ENOG410V55I	protein phosphatase 3, catalytic subunit	ENSPTRP00000004567, ENSPTRP00000034353, ENSPTRP00000028026	ENSMUSP00000125722, ENSMUSP00000077532, ENSMUSP00000053101
ENOG410V55H	Tau tubulin kinase	ENSPTRP00000011929, ENSPTRP00000031089	ENSMUSP00000044580, ENSMUSP00000028740
ENOG410V55K	Septin 3	ENSPTRP00000024873, ENSPTRP00000013197	ENSMUSP00000131062, ENSMUSP00000091435, ENSMUSP00000023095
ENOG410V55J	phosphatidylinositol glycan anchor biosynthesis, class F	ENSPTRP00000020419	ENSMUSP00000024957
ENOG410V55U	trio Rho guanine nucleotide exchange factor	ENSPTRP00000028715, ENSPTRP00000026397	ENSMUSP00000110611, ENSMUSP00000087714
ENOG410V55W	membrane bound O-acyltransferase domain containing	ENSPTRP00000043721, ENSPTRP00000020007	ENSMUSP00000045441, ENSMUSP00000106567
ENOG410V55V	Transmembrane protein 229A	ENSPTRP00000059915	ENSMUSP00000116234
ENOG410V55Q	C1q and tumor necrosis factor related protein	ENSPTRP00000053647, ENSPTRP00000009732	ENSMUSP00000025940
ENOG410V55P	HNF1 homeobox	ENSPTRP00000009420, ENSPTRP00000015442	ENSMUSP00000021016, ENSMUSP00000031535
ENOG410V55S	ash1 (absent, small, or homeotic)-like (Drosophila)	ENSPTRP00000002411	ENSMUSP00000088451
ENOG410V55X	kelch domain containing 4	ENSPTRP00000014406	ENSMUSP00000043439
ENOG410V55Z	keratin, type II cytoskeletal	ENSPTRP00000008506, ENSPTRP00000008505, ENSPTRP00000008491, ENSPTRP00000008481, ENSPTRP00000008488, ENSPTRP00000008487	ENSMUSP00000023709, ENSMUSP00000023712, ENSMUSP00000023720, ENSMUSP00000023713, ENSMUSP00000069900, ENSMUSP00000023786, ENSMUSP00000023790, ENSMUSP00000023714, ENSMUSP00000023788, ENSMUSP00000036246, ENSMUSP00000023952
ENOG410V555	Acyl-CoA thioesterase 8	ENSPTRP00000023310	ENSMUSP00000099383
ENOG410V554	cytochrome c oxidase subunit IV isoform 2 (lung)	ENSPTRP00000022902	ENSMUSP00000010020
ENOG410V557	Tyrosine kinase	ENSPTRP00000012464, ENSPTRP00000042453	ENSMUSP00000113221, ENSMUSP00000034863
ENOG410V556	Hypoxia inducible factor 1, alpha subunit (Basic helix-loop-helix transcription factor)	ENSPTRP00000010887, ENSPTRP00000048600, ENSPTRP00000020413	ENSMUSP00000021530, ENSMUSP00000104132, ENSMUSP00000024954
ENOG410V551	crooked neck pre-mRNA splicing factor-like 1 (Drosophila)	ENSPTRP00000052333	ENSMUSP00000001818
ENOG410V550	Transportin	ENSPTRP00000041144, ENSPTRP00000029071	ENSMUSP00000105028, ENSMUSP00000091051
ENOG410V553	chromosome 2 open reading frame 49	ENSPTRP00000021090	ENSMUSP00000010434
ENOG410V552	phosphomannomutase	ENSPTRP00000024860, ENSPTRP00000013236	ENSMUSP00000023396, ENSMUSP00000023112
ENOG410V559	Cyclin-dependent kinase	ENSPTRP00000015495, ENSPTRP00000036573, ENSPTRP00000032646	ENSMUSP00000103162, ENSMUSP00000009699, ENSMUSP00000036013
ENOG410V558	Cathepsin Z	ENSPTRP00000023534	ENSMUSP00000016400
ENOG410VAFX	RNA binding motif protein 8A	ENSPTRP00000002050	ENSMUSP00000100599, ENSMUSP00000044548
ENOG410VAFZ	Williams-Beuren syndrome chromosome region 28	ENSPTRP00000032958	ENSMUSP00000045190
ENOG410VAFP	BRX1, biogenesis of ribosomes, homolog (S. cerevisiae)	ENSPTRP00000028781	ENSMUSP00000022855
ENOG410VAFQ	Nuclear transcription factor Y	ENSPTRP00000031003	ENSMUSP00000043909
ENOG410VAFS	Catalyzes the interconversion of methylthioribose-1- phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1-P) (By similarity)	ENSPTRP00000018031	ENSMUSP00000122623
ENOG410VAFW	Fibrillarin	ENSPTRP00000018825	ENSMUSP00000037613, ENSMUSP00000128889
ENOG410VAFM	24-dehydrocholesterol reductase	ENSPTRP00000001349	ENSMUSP00000038063
ENOG410VAFA	Leucine rich repeat containing 66	ENSPTRP00000027614	ENSMUSP00000084423
ENOG410VAFC	Heparanalpha-glucosaminide N-acetyltransferase	ENSPTRP00000034627	ENSMUSP00000040356
ENOG410VAFD	crystallin, gamma N	ENSPTRP00000034059	ENSMUSP00000035860
ENOG410VAFE	triggering receptor expressed on myeloid cells-like 2	ENSPTRP00000031018	ENSMUSP00000128215
ENOG410VAF1	Kelch domain containing	ENSPTRP00000010717, ENSPTRP00000046609	ENSMUSP00000068046, ENSMUSP00000021362
ENOG410VAF2	kelch-like 36 (Drosophila)	ENSPTRP00000014366	ENSMUSP00000034287
ENOG410VAF3	family with sequence similarity 175, member B	ENSPTRP00000045616	ENSMUSP00000081541
ENOG410VAF4	RAB11 family interacting protein 3 (class II)	ENSPTRP00000042217	ENSMUSP00000113521
ENOG410VAF5	zinc and ring finger 3	ENSPTRP00000024465	ENSMUSP00000105493
ENOG410VAF7	chromosome 12 open reading frame 40	ENSPTRP00000008248	ENSMUSP00000104907
ENOG410VBP5	kiaa1462	ENSPTRP00000032963	ENSMUSP00000038613
ENOG410VBP4	Adaptor-related protein complex 1 associated regulatory protein	ENSPTRP00000028122	ENSMUSP00000059669
ENOG410V43C	PRP31 pre-mRNA processing factor 31 homolog (S. cerevisiae)	ENSPTRP00000019663	ENSMUSP00000008517
ENOG410V43R	ADP-ribosylation factor-like 4D	ENSPTRP00000015734	ENSMUSP00000035918
ENOG410V436	NFKB activating protein	ENSPTRP00000047284	ENSMUSP00000016553
ENOG410V438	nitrogen permease regulator-like 2 (S. cerevisiae)	ENSPTRP00000025828	ENSMUSP00000010201
ENOG410VJZ9	high mobility group nucleosome binding domain 5	ENSPTRP00000045332	ENSMUSP00000033597
ENOG410VJZV	SLP adaptor and CSK interacting membrane protein	ENSPTRP00000014723	ENSMUSP00000104174
ENOG410VIQT	Transmembrane protein 92	ENSPTRP00000060509, ENSPTRP00000015955	ENSMUSP00000125159
ENOG410VIQ2	chromosome 11 open reading frame 88	ENSPTRP00000007335	ENSMUSP00000126725
ENOG410VIQ9	cystatin 8 (cystatin-related epididymal specific)	ENSPTRP00000022842	ENSMUSP00000028931
ENOG410V8K4	chromosome 3 open reading frame 17	ENSPTRP00000026261	ENSMUSP00000038779
ENOG410V8K5	G protein-coupled receptor 87	ENSPTRP00000026750	ENSMUSP00000059272
ENOG410V8KQ	Catalyzes the reversible phosphorylation of S-methyl-5'- thioadenosine (MTA) to adenine and 5-methylthioribose-1-phosphate. Involved in the breakdown of MTA, a major by-product of polyamine biosynthesis. Responsible for the first step in the methionine salvage pathway after MTA has been generated from S- adenosylmethionine. Has broad substrate specificity with 6- aminopurine nucleosides as preferred substrates (By similarity)	ENSPTRP00000035612	ENSMUSP00000061092
ENOG410V8KJ	calcium channel, voltage-dependent, gamma subunit	ENSPTRP00000024653, ENSPTRP00000013481	ENSMUSP00000019290, ENSMUSP00000081664
ENOG410V8KN	WD repeat domain 11	ENSPTRP00000050172	ENSMUSP00000081567
ENOG410V8KM	N-acylaminoacyl-peptide hydrolase	ENSPTRP00000025766	ENSMUSP00000080058
ENOG410V8KF	TOX high mobility group box family member	ENSPTRP00000059746	ENSMUSP00000126243
ENOG410V8KD	Nucleoporin 188kDa	ENSPTRP00000036669	ENSMUSP00000065836
ENOG410V8KE	Zinc finger protein	ENSPTRP00000039507, ENSPTRP00000018978	ENSMUSP00000053567, ENSMUSP00000057817
ENOG410VD6A	Mitochondrial ribosomal protein L18	ENSPTRP00000032018	ENSMUSP00000078123
ENOG410VD68	PWWP domain containing 2B	ENSPTRP00000058787	ENSMUSP00000130888
ENOG410VGBP	Neugrin, neurite outgrowth associated	ENSPTRP00000055624	ENSMUSP00000113444
ENOG410VGBU	Aurora kinase A interacting protein 1	ENSPTRP00000000043	ENSMUSP00000081114
ENOG410VME9	Chemokine (C-C motif) ligand	ENSPTRP00000015411, ENSPTRP00000015413	ENSMUSP00000019071, ENSMUSP00000019266
ENOG410VME8	SREK1-interacting protein 1	ENSPTRP00000028974	ENSMUSP00000022230
ENOG410VME4	Purkinje cell protein 4 like 1	ENSPTRP00000002648	ENSMUSP00000106964
ENOG410VME6	BCL2-interacting killer (apoptosis-inducing)	ENSPTRP00000024923	ENSMUSP00000016902
ENOG410VMEH	Prefoldin subunit 6	ENSPTRP00000030812	ENSMUSP00000025163
ENOG410VMEX	lens epithelial protein	ENSPTRP00000002356	ENSMUSP00000052968
ENOG410VMEV	Secretoglobin, family 3A, member 1	ENSPTRP00000060111	ENSMUSP00000043325
ENOG410VMEP	Fc fragment of IgE, high affinity I, receptor for	ENSPTRP00000051638	ENSMUSP00000078875
ENOG410WFXE	Cation channel, sperm associated 2	ENSPTRP00000011959	ENSMUSP00000037222
ENOG410WIQZ	synaptotagmin XII	ENSPTRP00000006789	ENSMUSP00000055237
ENOG410WIQX	Synaptotagmin-like 1	ENSPTRP00000000705	ENSMUSP00000030674
ENOG410WIQY	Synaptotagmin XIV	ENSPTRP00000003276	ENSMUSP00000016344
ENOG410V6Y8	Phosphoglucomutase 3	ENSPTRP00000031409	ENSMUSP00000070871
ENOG410V6Y9	Zinc finger, SWIM-type containing	ENSPTRP00000001157	ENSMUSP00000100724, ENSMUSP00000040078, ENSMUSP00000049474
ENOG410V6Y2	TBC1 domain family member 30	ENSPTRP00000050394	ENSMUSP00000070488
ENOG410V6Y3	family with sequence similarity 58, member A	ENSPTRP00000060011	ENSMUSP00000050658
ENOG410V6Y0	Ligand for members of the frizzled family of seven transmembrane receptors (By similarity)	ENSPTRP00000008363, ENSPTRP00000022097	ENSMUSP00000006718, ENSMUSP00000023732
ENOG410V6Y6	F-box protein 38	ENSPTRP00000029716	ENSMUSP00000047541
ENOG410V6Y7	RNA binding motif protein 20	ENSPTRP00000050262	ENSMUSP00000129447
ENOG410V6Y4	Chromosome 9 open reading frame 72	ENSPTRP00000035642	ENSMUSP00000103762
ENOG410V6YZ	brain-specific homeobox	ENSPTRP00000007538	ENSMUSP00000068057
ENOG410V6YX	UDP-glucose glycoprotein glucosyltransferase	ENSPTRP00000021304, ENSPTRP00000010161	ENSMUSP00000037930, ENSMUSP00000121249
ENOG410V6YY	glucose-fructose oxidoreductase domain containing	ENSPTRP00000014071, ENSPTRP00000030279	ENSMUSP00000013294, ENSMUSP00000062662
ENOG410V6YR	asparagine-linked glycosylation 2, alpha-1,3-mannosyltransferase homolog (S. cerevisiae)	ENSPTRP00000036202	ENSMUSP00000043580
ENOG410V6YP	cat eye syndrome chromosome region, candidate 2	ENSPTRP00000024168	ENSMUSP00000108306
ENOG410V6YQ	F-box protein 15	ENSPTRP00000017177	ENSMUSP00000045925
ENOG410V6YV	multiple EGF-like-domains	ENSPTRP00000012295, ENSPTRP00000002506, ENSPTRP00000029403	ENSMUSP00000128672, ENSMUSP00000030897, ENSMUSP00000029714, ENSMUSP00000075174
ENOG410V6YW	Involved in transport from the ER to the Golgi apparatus as well as in intra-Golgi transport. It belongs to a super-family of proteins called t-SNAREs or soluble NSF (N-ethylmaleimide- sensitive factor) attachment protein receptor	ENSPTRP00000015298	ENSMUSP00000010536
ENOG410V6YT	Zinc finger protein 296	ENSPTRP00000019113	ENSMUSP00000104093
ENOG410V6YU	Yae1 domain containing 1	ENSPTRP00000032638	ENSMUSP00000128933, ENSMUSP00000097324
