#ortholog	function	species_a	species_b
ENOG410VAJN	v-maf musculoaponeurotic fibrosarcoma oncogene homolog	ENSP00000362410	GB18094-PA
ENOG410VAJJ	Senataxin	ENSP00000224140	GB17236-PA
ENOG410VAJK	WD repeat domain 69	ENSP00000311899	GB12848-PA
ENOG410VAJF	ubiquitin carboxyl-terminal hydrolase	ENSP00000263966, ENSP00000472079, ENSP00000229268	GB14886-PA
ENOG410VAJA	ribosomal protein L17	ENSP00000389465	GB17564-PA
ENOG410VAJ8	Xylosyltransferase	ENSP00000261381, ENSP00000017003	GB18395-PA
ENOG410VAJ9	Fragile site, folic acid type, rare, fra(10)(Q23.3) or fra(10)(Q24.2) candidate 1	ENSP00000360488	GB18015-PA
ENOG410VAJ4	Myeloid leukemia factor	ENSP00000203630	GB16597-PA
ENOG410VAJ6	mitochondrial translational initiation factor 2	ENSP00000263629	GB10042-PA
ENOG410VAJ7	Catalyzes the hydroxylation of the N(6)-(4-aminobutyl)- L-lysine intermediate to form hypusine, an essential post- translational modification only found in mature eIF-5A factor	ENSP00000250937	GB17967-PA
ENOG410VAJ0	Chromosome 21 open reading frame 59	ENSP00000290155	GB16023-PA
ENOG410VAJ1	Transmembrane protein 208	ENSP00000305892	GB17750-PA
ENOG410VAJ2	transcription factor 25 (basic helix-loop-helix)	ENSP00000263346	GB11533-PA
ENOG410VJNU	Involved both in mRNA export coupled transcription activation by association with the nuclear pore complex (NPC), and in transcription activation as a component of the transcription regulatory histone acetylation (HAT) complex SAGA. The SAGA complex is a multiprotein complex that activates transcription by remodeling chromatin and mediating histone acetylation and deubiquitination. Within the SAGA complex, it probably participates in a subcomplex that specifically deubiquitinates histone H2B. The SAGA complex is recruited to specific gene promoters by activators, where it is required for transcription. Also involved in mRNA export and accurate chromatin positioning in the nucleus by tethering genes to the nuclear periphery. Together with xmas-2 and the SAGA complex, it participates in the anchoring of hsp70 loci to the nuclear pore complex (NPC) to achieve efficient transcription and mRNA export. Recruited to the su(Hw) insulators via its interaction with su(Hw) and participates in the barrier activity of such insulators. In contrast, it does not participate in the enhancer-blocking activity of the su(Hw) insulators	ENSP00000429986	GB15814-PA
ENOG410VJNC	Ring finger protein 7	ENSP00000273480	GB16100-PA
ENOG410VFD7	zinc and ring finger	ENSP00000323879, ENSP00000335091	GB18434-PA
ENOG410V5SP	ATPase, H transporting, lysosomal accessory protein 1	ENSP00000472265, ENSP00000358777	GB16678-PA
ENOG410V5SZ	Polymerase (RNA) II (DNA directed) polypeptide E	ENSP00000215587	GB15477-PA, GB10998-PA
ENOG410V5SD	Storkhead box 1	ENSP00000298596	GB10978-PA
ENOG410V5SJ	PHD finger protein	ENSP00000391901, ENSP00000359321, ENSP00000363640, ENSP00000363003	GB16657-PA
ENOG410V5S8	lysyl-tRNA synthetase	ENSP00000325448	GB12887-PA
ENOG410WJD6	guanine nucleotide binding protein (G protein), beta 5	ENSP00000261837	GB16329-PA
ENOG410WJD7	catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second	ENSP00000377527	GB19885-PA
ENOG410WJDP	TM2 domain containing 3	ENSP00000330433	GB17827-PA
ENOG410V8M8	transducin beta-like 3	ENSP00000454836	GB30520-RA_2, GB11903-PA
ENOG410V8M5	ATP GTP binding	ENSP00000413001, ENSP00000298861, ENSP00000388275, ENSP00000365251	GB10742-PA, GB14208-PA
ENOG410V8M1	CSE1 chromosome segregation 1-like (yeast)	ENSP00000262982	GB17150-PA
ENOG410V8MF	THAP domain containing 4	ENSP00000385006	GB11305-PA
ENOG410VA1P	TBC1 domain family member 25	ENSP00000365962, ENSP00000470506	GB19997-PA
ENOG410VA1S	ubiquitin carboxyl-terminal hydrolase	ENSP00000423333, ENSP00000261497	GB18053-PA
ENOG410VA1B	ubiquitin-conjugating enzyme E2G 1	ENSP00000380178	GB13798-PA
ENOG410VA17	Transformation transcription domain-associated protein	ENSP00000457834, ENSP00000347733	GB12432-PA
ENOG410VA16	pitrilysin metallopeptidase 1	ENSP00000370377	GB16082-PA, GB12180-PA
ENOG410VA11	member RAS oncogene family	ENSP00000285208, ENSP00000311449, ENSP00000387307	GB11363-PA
ENOG410VMQT	chromosome 6 open reading frame 57	ENSP00000359505	GB15236-PA
ENOG410VI62	Small nuclear ribonucleoprotein 25kDa (U11 U12)	ENSP00000372482	GB17387-PA
ENOG410V6EZ	actin related protein 2 3 complex, subunit	ENSP00000252725, ENSP00000262942	GB14874-PA
ENOG410V6ER	Zinc finger homeobox	ENSP00000430497, ENSP00000268489	GB16706-PA
ENOG410V6EJ	mediator complex subunit 25	ENSP00000326767, ENSP00000375717	GB19160-PA
ENOG410V6EH	Zinc finger, FYVE domain containing 20	ENSP00000253699	GB13102-PA
ENOG410V6EF	Kallmann syndrome 1 sequence	ENSP00000262648	GB14355-PA
ENOG410V6EB	Crystallin, lambda 1	ENSP00000298248	GB13368-PA
ENOG410V6E6	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex	ENSP00000253108	GB10272-PA
ENOG410V6E5	calcineurin-like EF hand protein 1	ENSP00000335632	GB13017-PA
ENOG410V6E0	N(Alpha)-acetyltransferase 35, NatC auxiliary subunit	ENSP00000354972	GB11992-PA
ENOG410V70G	Mitochondrial trans-2-enoyl-CoA reductase	ENSP00000263702	GB19048-PA
ENOG410V701	Peroxidasin homolog	ENSP00000225371, ENSP00000348645, ENSP00000318820, ENSP00000225275, ENSP00000262290, ENSP00000252804	GB15860-PA
ENOG410V702	PDZ domain containing 8	ENSP00000334642	GB16417-PA
ENOG410VBX9	integrator complex subunit 2	ENSP00000414237	GB15103-PA
ENOG410VBX3	2-aminoethanethiol (Cysteamine) dioxygenase	ENSP00000362888	GB12350-PA
ENOG410VBX2	Chromatin assembly factor 1, subunit B (P60)	ENSP00000315700	GB17031-PA
ENOG410V707	asparagine-linked glycosylation 11, alpha-1,2-mannosyltransferase homolog (yeast)	ENSP00000430236	GB13757-PA
ENOG410VBXY	Chondroitin polymerizing factor	ENSP00000035307, ENSP00000243776	GB16609-PA
ENOG410VBXT	ATP-dependent Clp protease, proteolytic subunit	ENSP00000245816	GB10807-PA
ENOG410VBXV	developmentally regulated GTP binding protein 2	ENSP00000225729	GB19395-PA
ENOG410VBXG	fukutin related protein	ENSP00000326570	GB10115-PA
ENOG410WH0I	GTPase activating protein and VPS9 domains 1	ENSP00000377665	GB12354-PA
ENOG410WICS	WD repeat, sterile alpha motif and U-box domain containing 1	ENSP00000352820	GB11781-PA
ENOG410V44Q	oligomeric mucus gel-forming	ENSP00000435591, ENSP00000400895, ENSP00000406861, ENSP00000436812	GB16711-PA
ENOG410V44Z	Membrane protein, palmitoylated	ENSP00000358547, ENSP00000222644, ENSP00000471445, ENSP00000269095, ENSP00000367408	GB11527-PA, GB11170-PA
ENOG410V44G	grainyhead-like	ENSP00000324693, ENSP00000288955, ENSP00000251808	GB13030-PA
ENOG410V44N	thioredoxin-related transmembrane protein 3	ENSP00000299608	GB10062-PA
ENOG410V8T3	elongator acetyltransferase complex subunit 3	ENSP00000256398	GB17808-PA
ENOG410V8T2	S. cerevisiae	ENSP00000255858, ENSP00000385695, ENSP00000215812, ENSP00000316203	GB16982-PA
ENOG410V8T7	cAMP responsive element	ENSP00000387699, ENSP00000265372	GB11585-PA
ENOG410V8T4	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)	ENSP00000261479	GB12035-PA
ENOG410V8TX	Diacylglycerol kinase, epsilon 64kDa	ENSP00000284061	GB16676-PA
ENOG410V8TQ	derlin 2	ENSP00000384744, ENSP00000158771	GB16471-PA
ENOG410V8TP	CCR4-NOT transcription complex, subunit 3	ENSP00000469506, ENSP00000469789, ENSP00000459928, ENSP00000458623, ENSP00000469667, ENSP00000458908, ENSP00000472864, ENSP00000221232, ENSP00000470121	GB13637-PA
ENOG410V8TV	TH1-like (Drosophila)	ENSP00000342300	GB16924-PA
ENOG410V8TU	Hydroxysteroid (17-beta) dehydrogenase 4	ENSP00000420914	GB18162-PA
ENOG410V8TT	G protein-coupled receptor 155	ENSP00000295500	GB10376-PA
ENOG410V8TH	Kinesin family member	ENSP00000263934, ENSP00000322791, ENSP00000259711, ENSP00000290607, ENSP00000427900, ENSP00000320821, ENSP00000384164	GB10414-PA, GB11349-PA, GB16936-PA
ENOG410V8TN	RecQ protein-like (DNA helicase Q1-like)	ENSP00000347232, ENSP00000395449	GB16515-PA, GB16722-PA
ENOG410V8TB	Proteasome (Prosome, macropain) 26S subunit, ATPase, 6	ENSP00000401802	GB20013-PA
ENOG410V8TA	member RAS oncogene family	ENSP00000262094, ENSP00000337761	GB19942-PA
ENOG410V8TD	Sec23 homolog A (S. cerevisiae)	ENSP00000306881, ENSP00000262544	GB19531-PA
ENOG410VF79	Insulin-like growth factor binding protein, acid labile subunit	ENSP00000416683	GB14466-PA, GB17501-PA, GB16823-PA, GB12387-PA
ENOG410V5XF	40S ribosomal protein S8	ENSP00000379888	GB13741-PA
ENOG410V5XJ	nudE nuclear distribution E homolog	ENSP00000333982, ENSP00000345892	GB19095-PA
ENOG410V5XR	phosphofurin acidic cluster sorting protein	ENSP00000316454, ENSP00000393559	GB11328-PA
ENOG410V5XQ	phosphoglycerate mutase family member 5	ENSP00000438465	GB11161-PA, GB10392-PA
ENOG410V6RZ	StAR-related lipid transfer (START) domain containing 3	ENSP00000337446	GB17052-PA
ENOG410V6RX	tRNA methyltransferase 1 homolog (S. cerevisiae)	ENSP00000350352	GB19730-PA
ENOG410V6RW	Required for cytoplasmic pre-assembly of axonemal dyneins, thereby playing a central role in motility in cilia and flagella. Involved in pre-assembly of dynein arm complexes in the cytoplasm before intraflagellar transport loads them for the ciliary compartment	ENSP00000298292	GB10915-PA
ENOG410V6RV	tubby like protein	ENSP00000305426, ENSP00000380321, ENSP00000229771	GB19892-PA
ENOG410V6RT	dynein, axonemal assembly factor 3	ENSP00000375599	GB15523-PA
ENOG410V6RS	zinc finger E-box binding homeobox	ENSP00000354487	GB18918-PA
ENOG410V6RR	Plays an important role in the de novo pathway and in the salvage pathway of purine nucleotide biosynthesis. Catalyzes the first commited step in the biosynthesis of AMP from IMP (By similarity)	ENSP00000355493, ENSP00000333019	GB14705-PA
ENOG410V6RQ	seryl-tRNA synthetase	ENSP00000234677	GB18534-PA
ENOG410V6RJ	Tudor domain containing 9	ENSP00000387303	GB13563-PA
ENOG410V6RI	Dihydroorotate dehydrogenase (quinone)	ENSP00000219240	GB16956-PA
ENOG410V6RA	Peptidylprolyl isomerase domain and WD repeat containing 1	ENSP00000261308	GB10843-PA
ENOG410V6R9	Serrate RNA effector molecule homolog	ENSP00000314491	GB14624-PA
ENOG410V6R5	SET domain containing 3	ENSP00000327436	GB14294-PA
ENOG410V6R4	ATP-binding cassette, subfamily E (OABP), member 1	ENSP00000296577	GB11485-PA
ENOG410V6R2	PRP38 pre-mRNA processing factor 38 (Yeast) domain containing A	ENSP00000257181	GB13608-PA
ENOG410VBM2	transgelin	ENSP00000278968, ENSP00000357075, ENSP00000273368	GB12375-PA
ENOG410VBMR	slit homolog	ENSP00000422591, ENSP00000430333, ENSP00000266058	GB19929-PA
ENOG410VBMQ	Growth factor receptor-bound protein	ENSP00000339007, ENSP00000284154	GB15989-PA
ENOG410VBMV	sorting nexin	ENSP00000233575, ENSP00000312368	GB10004-PA
ENOG410VBMT	mRNA cap guanine-N7 methyltransferase	ENSP00000262173	GB13432-PA
ENOG410VBMC	BCL2 adenovirus E1B 19kDa interacting protein 3	ENSP00000357625	GB17541-PA
ENOG410VBMA	nuclear factor of activated T-cells 5, tonicity-responsive	ENSP00000396538	GB15645-PA
ENOG410VBMJ	Ribonuclease P MRP 40kDa subunit	ENSP00000369391	GB13782-PA
ENOG410VGFC	cAMP responsive element binding protein 3-like	ENSP00000271889, ENSP00000078445	GB11712-PA
ENOG410VGFS	BCL2-associated athanogene 4	ENSP00000287322	GB19897-PA
ENOG410V8DE	Methyltransferase like 4	ENSP00000458290	GB18349-PA
ENOG410WGPM	Low density lipoprotein receptor-related protein	ENSP00000294304, ENSP00000261349	GB11226-PA
ENOG410VAUZ	kiaa1143	ENSP00000296121	GB15297-PA
ENOG410V8A8	exosome component 7	ENSP00000265564	GB10475-PA
ENOG410V8A0	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity	ENSP00000414359	GB11284-PA
ENOG410V8A4	La ribonucleoprotein domain family member	ENSP00000381490	GB20082-PA
ENOG410V8A5	May be required for the maturation of extramitochondrial Fe S proteins. Has anti-apoptotic effects in the cell	ENSP00000377914	GB10435-PA
ENOG410V8A6	Abhydrolase domain containing	ENSP00000414558, ENSP00000390849	GB12291-PA
ENOG410V8A7	Vacuolar fusion protein CCZ1 homolog	ENSP00000325681, ENSP00000314544	GB20045-PA
ENOG410V8AX	Coiled-coil domain containing 101	ENSP00000316114	GB18746-PA
ENOG410V8AZ	WD repeat domain 26	ENSP00000408108	GB18906-PA
ENOG410V8AP	mitochondrial intermediate peptidase	ENSP00000371607	GB17803-PA
ENOG410V8AQ	staufen, RNA binding protein, homolog	ENSP00000360922, ENSP00000428756	GB13840-PA
ENOG410V8AS	tetratricopeptide repeat domain 1	ENSP00000231238	GB12619-PA
ENOG410V8AV	ctp synthase	ENSP00000352222, ENSP00000361699	GB17378-PA
ENOG410V8AH	calcium homeostasis endoplasmic reticulum protein	ENSP00000439856	GB19196-PA
ENOG410V8AJ	DTW domain containing 2	ENSP00000425048	GB11181-PA
ENOG410V8AA	ADP-ribosylhydrolase like 2	ENSP00000362273	GB12677-PA
ENOG410V8AD	Cell division cycle 16 homolog (S. cerevisiae)	ENSP00000348554	GB18057-PA
ENOG410VG1I	exosome component 6	ENSP00000398597	GB13347-PA
ENOG410VG1Y	ribosomal protein L21	ENSP00000354580	GB20097-PA
ENOG410VCT1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41	ENSP00000422753	GB16400-PA
ENOG410V7EY	Protein tyrosine phosphatase, non-receptor type	ENSP00000360683, ENSP00000311857	GB14529-PB
ENOG410V7EX	succinate-CoA ligase, alpha subunit	ENSP00000377446	GB11655-PA
ENOG410V7ES	Ubiquitin-conjugating enzyme E2D	ENSP00000381717, ENSP00000363019, ENSP00000349722, ENSP00000222402	GB18249-PA
ENOG410V7EQ	small nuclear ribonucleoprotein 40kDa (U5)	ENSP00000263694	GB11980-PA
ENOG410V7EV	Pleckstrin homology domain containing, family H (With MyTH4 domain) member	ENSP00000330278, ENSP00000282406	GB13445-PA
ENOG410V7EU	Acyl-CoA synthetase long-chain family member	ENSP00000339787, ENSP00000350012	GB16184-PA
ENOG410V7ET	Transmembrane protein 120B	ENSP00000345152	GB14658-PA
ENOG410V7EK	TIMP metallopeptidase inhibitor 3	ENSP00000266085	GB13671-PA
ENOG410V7EJ	THO complex 7 homolog (Drosophila)	ENSP00000295899	GB11345-PA
ENOG410V7EI	Regulator of G-protein signaling	ENSP00000339381, ENSP00000386229	GB15675-PC
ENOG410V7EN	Retinoblastoma-like	ENSP00000362768, ENSP00000262133	GB19508-PA
ENOG410V7EF	Lysine (K)-specific demethylase 1A	ENSP00000383042	GB12774-PA
ENOG410V7EE	Nuclear chaperone required for maturation and nuclear export of pre-60S ribosome subunits (By similarity)	ENSP00000358400	GB10175-PA, GB30237-PA
ENOG410V7E3	Serine Threonine Kinase 38	ENSP00000372035, ENSP00000253339, ENSP00000373684, ENSP00000229812	GB11404-PA, GB19502-PA, GB10522-PA
ENOG410V7E1	PHD finger protein 10	ENSP00000341805	GB12916-PA
ENOG410V7E7	Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 12	ENSP00000348442	GB11260-PA
ENOG410V7E5	Sestrin 1	ENSP00000393762, ENSP00000441927, ENSP00000253063	GB12961-PA
ENOG410VCZ9	Dynein cytoplasmic 1 intermediate chain	ENSP00000380308, ENSP00000320130	GB17351-PB
ENOG410VCZ1	coiled-coil domain containing 170	ENSP00000239374	GB20113-PA, GB17166-PA
ENOG410VCZT	Muscle RAS oncogene homolog	ENSP00000289104	GB10599-PA
ENOG410VCZP	ribosomal RNA small subunit methyltransferase	ENSP00000470560	GB15063-PA
ENOG410VCZH	PR domain containing 13	ENSP00000358217	GB15985-PA
ENOG410VCZF	glycerol-3-phosphate acyltransferase, mitochondrial	ENSP00000265276	GB11240-PA
ENOG410VCZD	peroxisomal biogenesis factor 16	ENSP00000241041	GB18640-PA
ENOG410VCZB	FSHD Region Gene 1	ENSP00000278882, ENSP00000226798, ENSP00000454708	GB12276-PA
ENOG410VCTM	Death associated protein 3	ENSP00000341692	GB14023-PA
ENOG410V5A8	60S ribosomal protein L13	ENSP00000307889	GB17286-PA
ENOG410V5AP	GTP-binding protein 10	ENSP00000222511	GB19538-PA
ENOG410V5AU	Heat shock 27kDa protein 1	ENSP00000248553	GB14435-PA
ENOG410V5AJ	Penta-EF-hand domain containing 1	ENSP00000362807	GB10544-PA
ENOG410V5AC	ankyrin 3, node of Ranvier (ankyrin G)	ENSP00000349588, ENSP00000265709, ENSP00000280772	GB14009-PA, GB10337-PA
ENOG410V9CC	phosphatidylinositol glycan anchor biosynthesis, class K	ENSP00000359848	GB18506-PA
ENOG410V9CE	CCR4-NOT transcription complex subunit 1	ENSP00000320949	GB18988-PA
ENOG410V9CJ	phosphoribosylformylglycinamidine synthase	ENSP00000313490	GB15524-PA
ENOG410V9CI	Aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	ENSP00000278618	GB30383-PA
ENOG410V9CS	Casein kinase 2, alpha	ENSP00000217244, ENSP00000262506	GB11423-PA
ENOG410V9CQ	vac14 homolog (S. cerevisiae)	ENSP00000261776	GB15527-PA
ENOG410V9CU	ubiquitin specific peptidase 39	ENSP00000312981	GB10090-PA
ENOG410V9CZ	Signal sequence receptor delta	ENSP00000317331, ENSP00000470405	GB17950-PA
ENOG410V9CY	Torsin family 1 member	ENSP00000259339, ENSP00000345719	GB13575-PA
ENOG410V9C7	RAN binding protein 3	ENSP00000341483	GB12739-PA
ENOG410V9C6	Phosphomevalonate kinase	ENSP00000357452	GB11982-PA
ENOG410V9C5	acyl-CoA synthetase bubblegum family member	ENSP00000252669, ENSP00000258873	GB12567-PA
ENOG410V9C4	Potassium voltage-gated channel, subfamily H (Eag-related), member	ENSP00000264661, ENSP00000257981, ENSP00000328813	GB12249-PA
ENOG410V9C8	adaptor-related protein complex 3, mu	ENSP00000174653, ENSP00000347408	GB16945-PA
ENOG410VED1	N-acetylneuraminic acid phosphatase	ENSP00000302441	GB11562-PA
ENOG410WJ02	Ring finger protein 207	ENSP00000367173	GB19065-PA
ENOG410V7PP	aconitase 2, mitochondrial	ENSP00000216254	GB12488-PA
ENOG410V7PR	RAS p21 protein activator	ENSP00000286364, ENSP00000335029	GB12604-PA
ENOG410V7PV	clavesin	ENSP00000325506, ENSP00000275162	GB10991-PA
ENOG410V7PW	cell division cycle 23 homolog (S. cerevisiae)	ENSP00000378350	GB19210-PA
ENOG410V7PM	MON2 homolog (S. cerevisiae)	ENSP00000377252	GB20041-PA
ENOG410V7PN	lysocardiolipin acyltransferase 1	ENSP00000310551	GB18996-PA
ENOG410V7PB	F-box and WD repeat domain containing 5	ENSP00000313034	GB17483-PA
ENOG410V7PD	Poly-U binding splicing factor 60KDa	ENSP00000434359, ENSP00000454452	GB16256-PA
ENOG410V7PE	Nuclear transcription factor, X-box binding-like 1	ENSP00000370949	GB12055-PA
ENOG410V7PG	Mediator complex subunit 1	ENSP00000300651	GB17026-PA
ENOG410V7P9	Arginyl-tRNA synthetase	ENSP00000231572	GB17602-PA
ENOG410V7P0	Required for the assembly of mature ribosomes and ribosome biogenesis. Together with EFTUD1, triggers the GTP- dependent release of EIF6 from 60S pre-ribosomes in the cytoplasm, thereby activating ribosomes for translation competence by allowing 80S ribosome assembly and facilitating EIF6 recycling to the nucleus, where it is required for 60S rRNA processing and nuclear export. Required for normal levels of protein synthesis. May play a role in cellular stress resistance. May play a role in cellular response to DNA damage. May play a role in cell proliferation	ENSP00000246868	GB16575-PA
ENOG410V7P2	diacylglycerol O-acyltransferase 1	ENSP00000454624, ENSP00000332258	GB13792-PA
ENOG410V7P4	Rogdi homolog (Drosophila)	ENSP00000322832	GB13111-PA
ENOG410V5SY	Leucine rich repeat containing 49	ENSP00000260382	GB15704-PA
ENOG410VCM8	kiaa0513	ENSP00000258180	GB12443-PA
ENOG410VCM5	zinc finger CCCH-type containing 18	ENSP00000301011	GB18661-PA
ENOG410VCM3	URI1, prefoldin-like chaperone	ENSP00000442436	GB19413-PA, GB30319-PA
ENOG410VCMY	Sin3A-associated protein, 30kDa	ENSP00000296504, ENSP00000297109	GB14162-PA
ENOG410VCMS	Exosome component 9	ENSP00000368984	GB15723-PA
ENOG410VCMQ	Inositol 1,3,4,5,6-pentakisphosphate 2-kinase	ENSP00000287996	GB12257-PA
ENOG410VCMP	REX2, RNA exonuclease 2 homolog (S. cerevisiae)	ENSP00000265881	GB14160-PA
ENOG410VCMJ	Calcium calmodulin-dependent protein kinase kinase	ENSP00000158166, ENSP00000312741	GB14770-PA
ENOG410VCMH	Vesicle transport through interaction with t-SNAREs homolog	ENSP00000376792	GB15918-PA
ENOG410V5SM	ADP-ribosylation factor-like 1	ENSP00000261636	GB15863-PA
ENOG410V5SK	serine active site containing 1	ENSP00000356071	GB11175-PA
ENOG410V5S4	tRNA isopentenyltransferase 1	ENSP00000321810	GB16433-PA
ENOG410V5S3	phosphatidylinositol glycan anchor biosynthesis, class M	ENSP00000357069	GB14892-PA
ENOG410VDST	sine oculis binding protein homolog (Drosophila)	ENSP00000318900	GB30558-PA, GB14085-PA
ENOG410VDSQ	ATP synthase, H transporting, mitochondrial Fo complex, subunit s (factor B)	ENSP00000451628, ENSP00000308334	GB16975-PA
ENOG410VDSN	X-ray repair complementing defective repair in Chinese hamster cells 3	ENSP00000343392	GB15774-PA
ENOG410VDS1	ADP-ribosylation factor GTPase activating protein 1	ENSP00000314615	GB13842-PA
ENOG410VDS9	Haloacid dehalogenase-like hydrolase domain containing 3	ENSP00000238379	GB17041-PA
ENOG410VH6I	ribosomal RNA processing 36 homolog (S. cerevisiae)	ENSP00000244496	GB12316-PA
ENOG410V9VA	ribosomal protein L8	ENSP00000262584	GB17629-PA
ENOG410V9VB	centrosomal protein 97kDa	ENSP00000342510	GB17708-PA
ENOG410V9VE	VAMP (Vesicle-associated membrane protein)-associated protein	ENSP00000345656, ENSP00000417175	GB15168-PA
ENOG410V9VF	Myotubularin related protein 9	ENSP00000221086	GB19180-PA
ENOG410V9VG	tetratricopeptide repeat domain 26	ENSP00000419279	GB11148-PA
ENOG410V9VI	Ets variant 6	ENSP00000379658	GB17935-PA
ENOG410V9VJ	solute carrier family 15	ENSP00000365686, ENSP00000417085	GB15994-PA
ENOG410V9VS	Glucosidase, beta, acid	ENSP00000458274, ENSP00000314508	GB13722-PA, GB10584-PA
ENOG410V9VV	brain and reproductive organ-expressed (TNFRSF1A modulator)	ENSP00000343412	GB14281-PA
ENOG410V9VY	NADH dehydrogenase (Ubiquinone) 1 alpha subcomplex	ENSP00000266544	GB10406-PA
ENOG410V9V3	Tuberous sclerosis 2	ENSP00000219476	GB14209-PA
ENOG410V9V5	splicing factor 3b, subunit 1, 155kDa	ENSP00000335321	GB16777-PA
ENOG410V9V7	vacuolar protein sorting 72 homolog (S. cerevisiae)	ENSP00000357887	GB16677-PA
ENOG410V9V9	DNA (cytosine-5-)-methyltransferase 3	ENSP00000264709, ENSP00000328547	GB14232-PA, GB30166-PA
ENOG410VES5	single-strand-selective monofunctional uracil-DNA glycosylase 1	ENSP00000338606	GB12426-PA
ENOG410VES2	CUE domain containing 1	ENSP00000353373	GB13887-PA
ENOG410VES8	homeobox	ENSP00000249499	GB10341-PA
ENOG410VCWS	family with sequence similarity 188, member B2	ENSP00000454591	GB19299-PA
ENOG410VK9Y	vesicle-associated membrane protein	ENSP00000054666, ENSP00000464383, ENSP00000314214, ENSP00000379602	GB30162-PA, GB18962-PA
ENOG410V5NV	Death-associated protein kinase	ENSP00000261891, ENSP00000301264, ENSP00000350785	GB11080-PA, GB17344-PA
ENOG410V5NW	cell division cycle 40 homolog (S. cerevisiae)	ENSP00000304370	GB11047-PA
ENOG410V5NP	UDP-Gal betaGlcNAc beta 1,4- galactosyltransferase, polypeptide	ENSP00000310696, ENSP00000320965, ENSP00000369055	GB16390-PA, GB19534-PA
ENOG410V5N3	protein disulfide isomerase family A, member 2	ENSP00000219406, ENSP00000327801	GB12586-PA, GB17736-PA
ENOG410V5E7	NADH dehydrogenase (ubiquinone) complex I, assembly factor 5	ENSP00000367346	GB15392-PA
ENOG410V5ET	solute carrier family 1 (glial high affinity glutamate transporter), member	ENSP00000262352, ENSP00000265113, ENSP00000221742, ENSP00000360549, ENSP00000278379	GB16911-PA, GB16377-PA, GB13253-PA, GB11630-PA
ENOG410V5EW	Transmembrane protein 214	ENSP00000238788	GB15700-PA
ENOG410V5ES	Reversion-inducing-cysteine-rich protein with kazal motifs	ENSP00000367202	GB18088-PA
ENOG410V5ER	vacuolar protein sorting 39 homolog (S. cerevisiae)	ENSP00000326534	GB13254-PA
ENOG410V5EY	TBC1 domain family, member 23	ENSP00000377700	GB13735-PA
ENOG410V5EG	glutamate receptor, ionotropic, n-methyl d-aspartate	ENSP00000279593, ENSP00000332549, ENSP00000360608, ENSP00000263269, ENSP00000293190	GB30233-PA, GB19253-PA
ENOG410V5EF	phytanoyl-CoA dioxygenase domain containing 1	ENSP00000309515	GB13059-PA
ENOG410V5EJ	Glycerol kinase	ENSP00000418001	GB10568-PA
ENOG410VAVH	Short stature homeobox	ENSP00000398704, ENSP00000419362, ENSP00000370990	GB15894-PA
ENOG410VAVI	Nitric oxide synthase trafficker	ENSP00000394051, ENSP00000460353	GB20128-PA
ENOG410VAVN	Converts protoheme IX and farnesyl diphosphate to heme O (By similarity)	ENSP00000261643	GB17609-PA
ENOG410VAVD	prohibitin 2	ENSP00000441875, ENSP00000469614	GB10477-PA
ENOG410VAV8	Crm, cramped-like (Drosophila)	ENSP00000293925	GB30217-PA, GB16357-PA
ENOG410VAV9	Small nuclear RNA activating complex, polypeptide 4, 190kDa	ENSP00000298532	GB15491-PA
ENOG410VAV0	LIM homeobox transcription factor 1	ENSP00000294816, ENSP00000347684	GB19877-PA
ENOG410VAV1	INO80 complex subunit E	ENSP00000457016	GB19357-PA
ENOG410VAV5	Potassium large conductance calcium-activated channel, subfamily M, alpha member 1	ENSP00000385806, ENSP00000382770	GB13973-PA
ENOG410VAV7	ribosomal protein L9	ENSP00000346022	GB15648-PA
ENOG410VAC6	paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)	ENSP00000221265	GB15101-PA
ENOG410VACI	Spermatogenesis associated 20	ENSP00000006658	GB15023-PA
ENOG410VACY	Dihydropyrimidine dehydrogenase	ENSP00000359211	GB19753-PA
ENOG410VACX	Kruppel-like factor 15	ENSP00000296233	GB30404-PA, GB17391-PA
ENOG410VACS	Ankyrin repeat and sterile alpha motif domain containing 4B	ENSP00000320076, ENSP00000308772	GB17625-PA
ENOG410VACQ	UDP-N-acetyl-alpha-D-galactosamine polypeptide N-acetylgalactosaminyltransferase	ENSP00000423313, ENSP00000297107, ENSP00000265000	GB16252-PA, GB16591-PA
ENOG410VACT	protein phosphatase 1, regulatory subunit 21	ENSP00000294952	GB14835-PA
