#ortholog	function	species_a	species_b
ENOG410V7E1	PHD finger protein 10	ENSPTRP00000032136	GB12916-PA
ENOG410V7E7	Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 12	ENSPTRP00000040314	GB11260-PA
ENOG410V7E5	Sestrin 1	ENSPTRP00000000750, ENSPTRP00000007212, ENSPTRP00000031562	GB12961-PA
ENOG410VCZ9	Dynein cytoplasmic 1 intermediate chain	ENSPTRP00000033226, ENSPTRP00000041794	GB17351-PB
ENOG410VCZ1	coiled-coil domain containing 170	ENSPTRP00000049534	GB17166-PA, GB20113-PA
ENOG410VCZT	Muscle RAS oncogene homolog	ENSPTRP00000026612	GB10599-PA
ENOG410VCZN	Spermidine spermine N1-acetyltransferase family member 2	ENSPTRP00000014832	GB12323-PA
ENOG410VCZH	PR domain containing 13	ENSPTRP00000049811	GB15985-PA
ENOG410VCZF	glycerol-3-phosphate acyltransferase, mitochondrial	ENSPTRP00000005189	GB11240-PA
ENOG410VCZD	peroxisomal biogenesis factor 16	ENSPTRP00000006141	GB18640-PA
ENOG410VCZB	FSHD Region Gene 1	ENSPTRP00000028594	GB12276-PA
ENOG410VCTM	Death associated protein 3	ENSPTRP00000002422	GB14023-PA
ENOG410V5A8	60S ribosomal protein L13	ENSPTRP00000014462	GB17286-PA
ENOG410V5AP	GTP-binding protein 10	ENSPTRP00000033161	GB19538-PA
ENOG410V5AU	Heat shock 27kDa protein 1	ENSPTRP00000033044	GB14435-PA
ENOG410V5AJ	Penta-EF-hand domain containing 1	ENSPTRP00000000805	GB10544-PA
ENOG410V5AC	ankyrin 3, node of Ranvier (ankyrin G)	ENSPTRP00000045732, ENSPTRP00000046076, ENSPTRP00000004348	GB10337-PA, GB14009-PA
ENOG410V9CC	phosphatidylinositol glycan anchor biosynthesis, class K	ENSPTRP00000045507	GB18506-PA
ENOG410V9CE	CCR4-NOT transcription complex subunit 1	ENSPTRP00000013973	GB18988-PA
ENOG410V9CJ	phosphoribosylformylglycinamidine synthase	ENSPTRP00000014883	GB15524-PA
ENOG410V9CI	Aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	ENSPTRP00000007293	GB30383-PA
ENOG410V9CS	Casein kinase 2, alpha	ENSPTRP00000053525, ENSPTRP00000022508	GB11423-PA
ENOG410V9CR	Protein arginine methyltransferase 7	ENSPTRP00000014110	GB18482-PA
ENOG410V9CQ	vac14 homolog (S. cerevisiae)	ENSPTRP00000014200	GB15527-PA
ENOG410V9CU	ubiquitin specific peptidase 39	ENSPTRP00000020824	GB10090-PA
ENOG410V9CZ	Signal sequence receptor delta	ENSPTRP00000038620	GB17950-PA
ENOG410V9CY	Torsin family 1 member	ENSPTRP00000039592, ENSPTRP00000043021	GB13575-PA
ENOG410V9C7	RAN binding protein 3	ENSPTRP00000017608	GB12739-PA
ENOG410V9C6	Phosphomevalonate kinase	ENSPTRP00000002347	GB11982-PA
ENOG410V9C5	acyl-CoA synthetase bubblegum family member	ENSPTRP00000012543, ENSPTRP00000017616	GB12567-PA
ENOG410V9C4	Potassium voltage-gated channel, subfamily H (Eag-related), member	ENSPTRP00000015663, ENSPTRP00000025323, ENSPTRP00000008387	GB12249-PA
ENOG410V9C8	adaptor-related protein complex 3, mu	ENSPTRP00000034595, ENSPTRP00000046433	GB16945-PA
ENOG410VED1	N-acetylneuraminic acid phosphatase	ENSPTRP00000022879	GB11562-PA
ENOG410WJ02	Ring finger protein 207	ENSPTRP00000052902	GB19065-PA
ENOG410V7PP	aconitase 2, mitochondrial	ENSPTRP00000024853	GB12488-PA
ENOG410V7PR	RAS p21 protein activator	ENSPTRP00000010314, ENSPTRP00000026641	GB12604-PA
ENOG410V7PV	clavesin	ENSPTRP00000034727, ENSPTRP00000031696	GB10991-PA
ENOG410V7PW	cell division cycle 23 homolog (S. cerevisiae)	ENSPTRP00000029553	GB19210-PA
ENOG410V7PM	MON2 homolog (S. cerevisiae)	ENSPTRP00000058985	GB20041-PA
ENOG410V7PN	lysocardiolipin acyltransferase 1	ENSPTRP00000020264	GB18996-PA
ENOG410V7PB	F-box and WD repeat domain containing 5	ENSPTRP00000036953	GB17483-PA
ENOG410V7PD	Poly-U binding splicing factor 60KDa	ENSPTRP00000035347	GB16256-PA
ENOG410V7PE	Nuclear transcription factor, X-box binding-like 1	ENSPTRP00000053443	GB12055-PA
ENOG410V7PG	Mediator complex subunit 1	ENSPTRP00000015490	GB17026-PA
ENOG410V7P9	Arginyl-tRNA synthetase	ENSPTRP00000029908	GB17602-PA
ENOG410V7P0	Required for the assembly of mature ribosomes and ribosome biogenesis. Together with EFTUD1, triggers the GTP- dependent release of EIF6 from 60S pre-ribosomes in the cytoplasm, thereby activating ribosomes for translation competence by allowing 80S ribosome assembly and facilitating EIF6 recycling to the nucleus, where it is required for 60S rRNA processing and nuclear export. Required for normal levels of protein synthesis. May play a role in cellular stress resistance. May play a role in cellular response to DNA damage. May play a role in cell proliferation	ENSPTRP00000032899	GB16575-PA
ENOG410V7P2	diacylglycerol O-acyltransferase 1	ENSPTRP00000035395	GB13792-PA
ENOG410V7P4	Rogdi homolog (Drosophila)	ENSPTRP00000013198	GB13111-PA
ENOG410V5SY	Leucine rich repeat containing 49	ENSPTRP00000012374	GB15704-PA
ENOG410VCM8	kiaa0513	ENSPTRP00000014376	GB12443-PA
ENOG410VCM5	zinc finger CCCH-type containing 18	ENSPTRP00000014417	GB18661-PA
ENOG410VCM3	URI1, prefoldin-like chaperone	ENSPTRP00000048833	GB30319-PA, GB19413-PA
ENOG410VCMY	Sin3A-associated protein, 30kDa	ENSPTRP00000028485, ENSPTRP00000029802	GB14162-PA
ENOG410VCMQ	Inositol 1,3,4,5,6-pentakisphosphate 2-kinase	ENSPTRP00000036083	GB12257-PA
ENOG410VCMP	REX2, RNA exonuclease 2 homolog (S. cerevisiae)	ENSPTRP00000007394	GB14160-PA
ENOG410VCMJ	Calcium calmodulin-dependent protein kinase kinase	ENSPTRP00000009430, ENSPTRP00000014651	GB14770-PA
ENOG410VCMH	Vesicle transport through interaction with t-SNAREs homolog	ENSPTRP00000056669	GB15918-PA
ENOG410V5SM	ADP-ribosylation factor-like 1	ENSPTRP00000009096	GB15863-PA
ENOG410V5SK	serine active site containing 1	ENSPTRP00000031986	GB11175-PA
ENOG410V5S4	tRNA isopentenyltransferase 1	ENSPTRP00000001005	GB16433-PA
ENOG410V5S3	phosphatidylinositol glycan anchor biosynthesis, class M	ENSPTRP00000002584	GB14892-PA
ENOG410VDST	sine oculis binding protein homolog (Drosophila)	ENSPTRP00000031541	GB14085-PA, GB30558-PA
ENOG410VDSQ	ATP synthase, H transporting, mitochondrial Fo complex, subunit s (factor B)	ENSPTRP00000010727	GB16975-PA
ENOG410VDSN	X-ray repair complementing defective repair in Chinese hamster cells 3	ENSPTRP00000011539	GB15774-PA
ENOG410VDS1	ADP-ribosylation factor GTPase activating protein 1	ENSPTRP00000023644	GB13842-PA
ENOG410VDS9	Haloacid dehalogenase-like hydrolase domain containing 3	ENSPTRP00000049052	GB17041-PA
ENOG410VH6I	ribosomal RNA processing 36 homolog (S. cerevisiae)	ENSPTRP00000031070	GB12316-PA
ENOG410V9VA	ribosomal protein L8	ENSPTRP00000035440	GB17629-PA
ENOG410V9VB	centrosomal protein 97kDa	ENSPTRP00000051190	GB17708-PA
ENOG410V9VE	VAMP (Vesicle-associated membrane protein)-associated protein	ENSPTRP00000057117, ENSPTRP00000016783	GB15168-PA
ENOG410V9VF	Myotubularin related protein 9	ENSPTRP00000048528	GB19180-PA
ENOG410V9VG	tetratricopeptide repeat domain 26	ENSPTRP00000033836	GB11148-PA
ENOG410V9VI	Ets variant 6	ENSPTRP00000008031	GB17935-PA
ENOG410V9VJ	solute carrier family 15	ENSPTRP00000053405, ENSPTRP00000026349	GB15994-PA
ENOG410V9VS	Glucosidase, beta, acid	ENSPTRP00000051730	GB13722-PA, GB10584-PA
ENOG410V9VY	NADH dehydrogenase (Ubiquinone) 1 alpha subcomplex	ENSPTRP00000007791	GB10406-PA
ENOG410V9V3	Tuberous sclerosis 2	ENSPTRP00000042921	GB14209-PA
ENOG410V9V5	splicing factor 3b, subunit 1, 155kDa	ENSPTRP00000021823	GB16777-PA
ENOG410V9V7	vacuolar protein sorting 72 homolog (S. cerevisiae)	ENSPTRP00000002178	GB16677-PA
ENOG410V9V9	DNA (cytosine-5-)-methyltransferase 3	ENSPTRP00000022942, ENSPTRP00000057470	GB30166-PA, GB14232-PA
ENOG410VES5	single-strand-selective monofunctional uracil-DNA glycosylase 1	ENSPTRP00000008566	GB12426-PA
ENOG410VES2	CUE domain containing 1	ENSPTRP00000016034	GB13887-PA
ENOG410VES8	homeobox	ENSPTRP00000049021	GB10341-PA
ENOG410VK9Y	vesicle-associated membrane protein	ENSPTRP00000000191, ENSPTRP00000058965, ENSPTRP00000057082	GB18962-PA, GB30162-PA
ENOG410V5NV	Death-associated protein kinase	ENSPTRP00000041316, ENSPTRP00000012230, ENSPTRP00000017483	GB17344-PA, GB11080-PA
ENOG410V5NW	cell division cycle 40 homolog (S. cerevisiae)	ENSPTRP00000031586	GB11047-PA
ENOG410V5NP	UDP-Gal betaGlcNAc beta 1,4- galactosyltransferase, polypeptide	ENSPTRP00000001130, ENSPTRP00000002640, ENSPTRP00000035661	GB16390-PA, GB19534-PA
ENOG410V5N3	protein disulfide isomerase family A, member 2	ENSPTRP00000016636	GB17736-PA, GB12586-PA
ENOG410V5E7	NADH dehydrogenase (ubiquinone) complex I, assembly factor 5	ENSPTRP00000022744	GB15392-PA
ENOG410V5ET	solute carrier family 1 (glial high affinity glutamate transporter), member	ENSPTRP00000049497, ENSPTRP00000028807, ENSPTRP00000001284, ENSPTRP00000006085	GB16377-PA, GB11630-PA, GB16911-PA, GB13253-PA
ENOG410V5EW	Transmembrane protein 214	ENSPTRP00000020182	GB15700-PA
ENOG410V5ES	Reversion-inducing-cysteine-rich protein with kazal motifs	ENSPTRP00000035794	GB18088-PA
ENOG410V5ER	vacuolar protein sorting 39 homolog (S. cerevisiae)	ENSPTRP00000011895	GB13254-PA
ENOG410V5EY	TBC1 domain family, member 23	ENSPTRP00000026164	GB13735-PA
ENOG410V5EG	glutamate receptor, ionotropic, n-methyl d-aspartate	ENSPTRP00000013242, ENSPTRP00000016345, ENSPTRP00000041565, ENSPTRP00000008060	GB30233-PA, GB19253-PA
ENOG410V5EF	phytanoyl-CoA dioxygenase domain containing 1	ENSPTRP00000036668	GB13059-PA
ENOG410V5EJ	Glycerol kinase	ENSPTRP00000026652	GB10568-PA
ENOG410VAVH	Short stature homeobox	ENSPTRP00000037021	GB15894-PA
ENOG410VAVI	Nitric oxide synthase trafficker	ENSPTRP00000021535	GB20128-PA
ENOG410VAVN	Converts protoheme IX and farnesyl diphosphate to heme O (By similarity)	ENSPTRP00000014984	GB17609-PA
ENOG410VAV8	Crm, cramped-like (Drosophila)	ENSPTRP00000012990	GB30217-PA, GB16357-PA
ENOG410VAV9	Small nuclear RNA activating complex, polypeptide 4, 190kDa	ENSPTRP00000036908	GB15491-PA
ENOG410VAV0	LIM homeobox transcription factor 1	ENSPTRP00000036533, ENSPTRP00000002699	GB19877-PA
ENOG410VAV1	INO80 complex subunit E	ENSPTRP00000058448	GB19357-PA
ENOG410VAV5	Potassium large conductance calcium-activated channel, subfamily M, alpha member 1	ENSPTRP00000056224	GB13973-PA
ENOG410VAV7	ribosomal protein L9	ENSPTRP00000061373	GB15648-PA
ENOG410VAC6	paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)	ENSPTRP00000018794	GB15101-PA
ENOG410VACI	Spermatogenesis associated 20	ENSPTRP00000015968	GB15023-PA
ENOG410VACY	Dihydropyrimidine dehydrogenase	ENSPTRP00000001697	GB19753-PA
ENOG410VACX	Kruppel-like factor 15	ENSPTRP00000026425	GB17391-PA, GB30404-PA
ENOG410VACS	Ankyrin repeat and sterile alpha motif domain containing 4B	ENSPTRP00000016349, ENSPTRP00000013409	GB17625-PA
ENOG410VACQ	UDP-N-acetyl-alpha-D-galactosamine polypeptide N-acetylgalactosaminyltransferase	ENSPTRP00000029801, ENSPTRP00000028482, ENSPTRP00000028480	GB16591-PA, GB16252-PA
ENOG410VACT	protein phosphatase 1, regulatory subunit 21	ENSPTRP00000020445	GB14835-PA
ENOG410VJJV	COX assembly mitochondrial protein 1 homolog (S. cerevisiae)	ENSPTRP00000025368	GB14901-PA
ENOG410WJHP	phosphatase 4, regulatory subunit	ENSPTRP00000049511	GB15727-PA
ENOG410WJHN	LisH domain and HEAT repeat-containing protein	ENSPTRP00000017116	GB12520-PA
ENOG410WJHM	protein phosphatase 4, regulatory subunit 4	ENSPTRP00000052513	GB11078-PA
ENOG410WJHA	microtubule associated serine threonine kinase-like	ENSPTRP00000004033	GB18540-PA
ENOG410VC47	Meningioma expressed antigen 5 (Hyaluronidase)	ENSPTRP00000005060	GB19614-PA
ENOG410VC4G	URB1 ribosome biogenesis 1 homolog (S. cerevisiae)	ENSPTRP00000023842	GB16119-PA
ENOG410V502	PDZ and LIM domain	ENSPTRP00000027982, ENSPTRP00000046350, ENSPTRP00000004722	GB13229-PA
ENOG410V503	Family with sequence similarity 76, member	ENSPTRP00000039139, ENSPTRP00000000725	GB14829-PA
ENOG410V501	host cell factor	ENSPTRP00000039494, ENSPTRP00000009133	GB19023-PA
ENOG410V507	histone H4 transcription factor	ENSPTRP00000007489	GB16512-PA
ENOG410V504	Replication factor C (Activator 1) 4, 37kDa	ENSPTRP00000027044	GB30127-PA
ENOG410V50E	Tectonin beta-propeller repeat containing 1	ENSPTRP00000047817	GB18324-PA
ENOG410V50Z	NatA auxiliary subunit	ENSPTRP00000053299, ENSPTRP00000041158	GB18226-PA
ENOG410V50S	Carboxypeptidase	ENSPTRP00000033732, ENSPTRP00000033736, ENSPTRP00000026701, ENSPTRP00000034781, ENSPTRP00000009957, ENSPTRP00000026696, ENSPTRP00000033734, ENSPTRP00000033733	GB19090-PA, GB13658-PA, GB15611-PA
ENOG410V50U	Tocopherol (Alpha) transfer protein-like	ENSPTRP00000023228	GB12725-PA, GB18562-PA, GB15272-PA
ENOG410V4QE	cholinergic receptor, nicotinic	ENSPTRP00000012561, ENSPTRP00000023650, ENSPTRP00000002339, ENSPTRP00000034613, ENSPTRP00000034420	GB18518-PA, GB10583-PA, GB15196-PA, GB17133-PA, GB17819-PA
ENOG410V4QA	Cell surface proteoglycan that bears heparan sulfate (By similarity)	ENSPTRP00000010130, ENSPTRP00000038390	GB11050-PA
ENOG410V4QP	zinc finger (CCCH type), RNA-binding motif and serine arginine rich	ENSPTRP00000044230, ENSPTRP00000029330	GB11464-PA
ENOG410V4QQ	MAP kinase interacting serine threonine kinase	ENSPTRP00000017370	GB17530-PA
ENOG410VB45	t-box transcription factor	ENSPTRP00000032592	GB16867-PA, GB13477-PA
ENOG410VB4C	ddb1 and cul4 associated factor	ENSPTRP00000042051, ENSPTRP00000038312	GB14738-PA
ENOG410VB4D	vacuolar protein sorting 45 homolog (S. cerevisiae)	ENSPTRP00000002113	GB30528-RA_2, GB16501-PA, GB30528-PA
ENOG410V6IH	Lactase-like	ENSPTRP00000021379, ENSPTRP00000012316	GB18896-PA
ENOG410V6IX	phospholipase A2, group XV	ENSPTRP00000014105, ENSPTRP00000014085	GB16886-PA
ENOG410V6IT	neuron-derived neurotrophic factor	ENSPTRP00000028171	GB17618-PA
ENOG410V6IB	solute carrier family 30 (zinc transporter), member	ENSPTRP00000035104, ENSPTRP00000020201, ENSPTRP00000052651	GB10664-PA
ENOG410V6IZ	Non-SMC condensin II complex, subunit D3	ENSPTRP00000007685	GB13639-PA
ENOG410V6IP	Cyclin-dependent kinase	ENSPTRP00000014478	GB16146-PA, GB11514-PA
ENOG410V6IU	nucleoporin 98kDa	ENSPTRP00000041699	GB12688-PA
ENOG410V6I3	DEAD (Asp-Glu-Ala-Asp) box polypeptide	ENSPTRP00000018068, ENSPTRP00000054521	GB13214-PA
ENOG410VBT7	peter pan homolog (Drosophila)	ENSPTRP00000041462	GB30081-PA
ENOG410VBTM	peptidoglycan recognition protein	ENSPTRP00000018135	GB15371-PA
ENOG410VBTS	RAE1 RNA export 1 homolog (S. pombe)	ENSPTRP00000052014	GB12111-PA
ENOG410VKW5	glutaredoxin 2	ENSPTRP00000051386	GB10598-PA
ENOG410V57S	X-ray repair complementing defective repair in Chinese hamster cells 2	ENSPTRP00000042785	GB17806-PA
ENOG410V8J1	siah E3 ubiquitin protein ligase	ENSPTRP00000026742, ENSPTRP00000013820, ENSPTRP00000060405	GB14982-PA
ENOG410WH4Z	zinc finger SWIM-type containing 8	ENSPTRP00000056825	GB15098-PA
ENOG410VA8B	SH3 and cysteine rich domain 3	ENSPTRP00000008716	GB12897-PA
ENOG410V8X7	Hexamethylene bis-acetamide inducible	ENSPTRP00000060438, ENSPTRP00000015808	GB17243-PA
ENOG410V8X4	peptidase D	ENSPTRP00000058478	GB12396-PA
ENOG410V8X3	HEAT repeat containing	ENSPTRP00000010592, ENSPTRP00000020315	GB16036-PA
ENOG410V8X9	autophagy related 4B, cysteine peptidase	ENSPTRP00000038132, ENSPTRP00000022479	GB16585-PA
ENOG410V8XT	membrane-associated ring finger (C3HC4)	ENSPTRP00000028430, ENSPTRP00000028432	GB19739-PA
ENOG410V8XQ	regucalcin (senescence marker protein-30)	ENSPTRP00000037481	GB18633-PA
ENOG410V8XF	thyroid hormone receptor interactor 13	ENSPTRP00000028622	GB11545-PA
ENOG410V8XD	HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1	ENSPTRP00000019775	GB15809-PA
ENOG410V8XB	dynactin 2 (p50)	ENSPTRP00000040891	GB17710-PA
ENOG410V8XJ	paired related homeobox 1	ENSPTRP00000002776	GB16151-PA
ENOG410V8XH	fuzzy homolog	ENSPTRP00000019429	GB16647-PA
ENOG410V97F	Transmembrane component of the tectonic-like complex, a complex localized at the transition zone of primary cilia and acting as a barrier that prevents diffusion of transmembrane proteins between the cilia and plasma membranes. Required for ciliogenesis and sonic hedgehog SHH signaling	ENSPTRP00000054468	GB13904-PA
ENOG410V6VI	ATP-binding cassette, sub-family F (GCN20), member	ENSPTRP00000030585, ENSPTRP00000026982	GB12894-PA, GB17537-PA
ENOG410V6VB	Phosphatidic acid phosphatase type 2 domain containing	ENSPTRP00000056052, ENSPTRP00000034531	GB18772-PA
ENOG410V6VD	helicase 1	ENSPTRP00000044957, ENSPTRP00000016108	GB13205-PA, GB17842-PA
ENOG410V6VZ	Tetratricopeptide repeat domain 12	ENSPTRP00000007372	GB30550-PA
ENOG410V6VY	anaphase promoting complex subunit 4	ENSPTRP00000027484	GB18982-PA
ENOG410V6VV	thrombospondin	ENSPTRP00000002388, ENSPTRP00000057441, ENSPTRP00000029161, ENSPTRP00000011794	GB13833-PA
ENOG410V6V3	synaptotagmin	ENSPTRP00000002432, ENSPTRP00000016976	GB11060-PA
ENOG410VE07	Phosphatidylinositol glycan anchor biosynthesis, class L	ENSPTRP00000015009	GB19790-PA
ENOG410VBI8	family with sequence similarity 92, member A1	ENSPTRP00000060143	GB15458-PA
ENOG410VBI6	codanin 1	ENSPTRP00000046824	GB30554-PA, GB14173-PA
ENOG410VBI5	Ligase III, DNA, ATP-dependent	ENSPTRP00000015364	GB12842-PA
ENOG410VBIH	phosphatidylinositol glycan anchor biosynthesis class U	ENSPTRP00000023012	GB19902-PA
ENOG410VBII	zinc finger protein 318	ENSPTRP00000050105	GB15024-PA
ENOG410VBIG	NFU1 iron-sulfur cluster scaffold homolog	ENSPTRP00000020633	GB15726-PA
ENOG410VBID	Tetratricopeptide repeat domain 14	ENSPTRP00000026935	GB19103-PA
ENOG410VBIX	Family with sequence similarity 100, member B	ENSPTRP00000016449	GB18467-PA
ENOG410VBIP	Synovial apoptosis inhibitor 1, synoviolin	ENSPTRP00000006667	GB14313-PA
ENOG410VBIQ	AarF domain containing kinase	ENSPTRP00000043784, ENSPTRP00000056495	GB17168-PA
ENOG410VGJX	Microsomal glutathione S-transferase	ENSPTRP00000008084	GB12371-PA
ENOG410WI9G	Eukaryotic translation initiation factor 2-alpha kinase	ENSPTRP00000032290	GB11419-PA
ENOG410V4XN	Filamin A, alpha	ENSPTRP00000042410, ENSPTRP00000047638	GB13109-PA
ENOG410V4XM	WD and tetratricopeptide repeats 1	ENSPTRP00000000703	GB16831-PA
ENOG410VHF1	Small nuclear ribonucleoprotein D3 polypeptide 18kDa	ENSPTRP00000024409	GB15805-PA
ENOG410VHFR	ATPase, H transporting, lysosomal 16kDa, V0 subunit c	ENSPTRP00000013077	GB19405-PA
ENOG410VHFK	CGRP receptor component	ENSPTRP00000032889	GB19989-PA
ENOG410VHFF	iron-sulfur cluster assembly 1 homolog (S. cerevisiae)	ENSPTRP00000036025	GB10611-PA
ENOG410VHFA	calmodulin-like 4	ENSPTRP00000058195	GB10526-PA, GB15444-PA
ENOG410VHFB	40S ribosomal protein S24	ENSPTRP00000042761	GB19487-PA
ENOG410V8E4	DEAD (Asp-Glu-Ala-Asp) box helicase 56	ENSPTRP00000032712	GB14584-PA
ENOG410V8E5	Sel-1 suppressor of lin-12-like	ENSPTRP00000011221, ENSPTRP00000040464	GB13395-PA
ENOG410V8E6	microphthalmia-associated transcription factor	ENSPTRP00000026065	GB19058-PA
ENOG410V8E0	methyltransferase like 5	ENSPTRP00000021561	GB15298-PA
ENOG410V8E2	Small nuclear ribonucleoprotein-associated protein	ENSPTRP00000059297, ENSPTRP00000011663	GB16276-PA
ENOG410V8E3	nrde-2 necessary for RNA interference, domain containing	ENSPTRP00000052537	GB15071-PA
ENOG410V8E8	ring finger and CHY zinc finger domain containing 1, E3 ubiquitin protein ligase	ENSPTRP00000027787	GB12346-PA
ENOG410V8EW	ras-related GTP binding	ENSPTRP00000047390, ENSPTRP00000035579	GB17040-PA
ENOG410V8EQ	kiaa0430	ENSPTRP00000013317	GB17805-PA
ENOG410V8ER	D-aspartate oxidase	ENSPTRP00000031589, ENSPTRP00000009181	GB10520-PA, GB16320-PA
ENOG410V8EX	Abhydrolase domain containing	ENSPTRP00000022871, ENSPTRP00000010741	GB13708-PA
ENOG410V8ED	insulin-like growth factor 2 mRNA binding protein	ENSPTRP00000015920, ENSPTRP00000032446, ENSPTRP00000050908	GB16876-PA
ENOG410V8EF	tektin 5	ENSPTRP00000014762, ENSPTRP00000014989, ENSPTRP00000020920, ENSPTRP00000013246	GB15467-PA, GB12974-PA, GB19530-PA, GB14501-PA
ENOG410V8EB	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	ENSPTRP00000010634	GB10655-PA, GB13520-PA
ENOG410VD8D	family with sequence similarity 210, member B	ENSPTRP00000023473	GB18170-PA
ENOG410VD8Z	SPRY domain containing 7	ENSPTRP00000042045	GB13188-PA
ENOG410VD8Y	peptidoglycan-binding, domain containing 3	ENSPTRP00000029213	GB16078-PA
ENOG410VD8R	FCF1 small subunit (SSU) processome component homolog (S. cerevisiae)	ENSPTRP00000011102	GB12622-PA
ENOG410VD8Q	von Hippel-Lindau binding protein 1	ENSPTRP00000038725	GB11898-PA
ENOG410VD88	Chromosome X open reading frame 56	ENSPTRP00000061342	GB18406-PA
ENOG410VD83	Oligosaccharyltransferase complex subunit	ENSPTRP00000058494, ENSPTRP00000042964	GB11976-PA
ENOG410VD85	t-SNARE domain containing 1	ENSPTRP00000053028	GB10021-PA
ENOG410VCAV	Interferon regulatory factor 2 binding	ENSPTRP00000052559, ENSPTRP00000019178	GB18850-PA
ENOG410WIKI	Regulator of the Hippo SWH (Sav Wts Hpo) signaling pathway, a signaling pathway that plays a pivotal role in organ size control and tumor suppression by restricting proliferation and promoting apoptosis. The core of this pathway is composed of a kinase cascade wherein Hippo (Hpo), in complex with its regulatory protein Salvador (Sav), phosphorylates and activates Warts (Wts) in complex with its regulatory protein Mats, which in turn phosphorylates and inactivates the Yorkie (Yki) oncoprotein. Kibra acts synergistically along with Ex and Mer to regulate the Hippo signaling pathway	ENSPTRP00000039168	GB19928-PA
ENOG410WIKJ	membrane associated guanylate kinase, WW and PDZ domain containing	ENSPTRP00000033085	GB12501-PA
ENOG410VFCD	alpha 1,4-galactosyltransferase	ENSPTRP00000054880	GB14854-PA
ENOG410VFCG	protease, serine, 12 (neurotrypsin, motopsin)	ENSPTRP00000028150	GB12538-PA
ENOG410VIJW	Small nuclear ribonucleoprotein D1 polypeptide 16kDa	ENSPTRP00000016853	GB10686-PA
ENOG410V7IY	Interleukin-1 receptor-associated kinase 4	ENSPTRP00000008285	GB16397-PA
ENOG410V7IX	Oxysterol binding protein	ENSPTRP00000024547, ENSPTRP00000006371	GB13861-PA
ENOG410V7IF	Coiled-coil domain containing 6	ENSPTRP00000039794	GB10097-PA
ENOG410V7IM	Nucleoporin 160kDa	ENSPTRP00000048096	GB19342-PA
ENOG410V7IH	Component of the cap-binding complex (CBC), which binds co-transcriptionally to the 5' cap of pre-mRNAs and is involved in various processes such as pre-mRNA splicing, translation regulation, nonsense-mediated mRNA decay, RNA-mediated gene silencing (RNAi) by microRNAs (miRNAs) and mRNA export. The CBC complex is involved in mRNA export from the nucleus via its interaction with ALYREF THOC4 ALY, leading to the recruitment of the mRNA export machinery to the 5' end of mRNA and to mRNA export in a 5' to 3' direction through the nuclear pore. The CBC complex is also involved in mediating U snRNA and intronless mRNAs export from the nucleus. The CBC complex is essential for a pioneer round of mRNA translation, before steady state translation when the CBC complex is replaced by cytoplasmic cap-binding protein eIF4E. The pioneer round of mRNA translation mediated by the CBC complex plays a central role in nonsense-mediated mRNA decay (NMD), NMD only taking place in mRNAs bound to the CBC complex, but not on eIF4E-bound mRNAs. The CBC complex enhances NMD in mRNAs containing at least one exon-junction complex (EJC) via its interaction with UPF1, promoting the interaction between UPF1 and UPF2. The CBC complex is also involved in 'failsafe' NMD, which is independent of the EJC complex, while it does not participate in Staufen-mediated mRNA decay (SMD). During cell proliferation, the CBC complex is also involved in microRNAs (miRNAs) biogenesis via its interaction with SRRT ARS2, thereby being required for miRNA- mediated RNA interference. The CBC complex also acts as a negative regulator of PARN, thereby acting as an inhibitor of mRNA deadenylation. In the CBC complex, NCBP2 CBP20 recognizes and binds capped RNAs (m7GpppG-capped RNA) but requires NCBP1 CBP80 to stabilize the movement of its N-terminal loop and lock the CBC into a high affinity cap-binding state with the cap structure	ENSPTRP00000027166	GB19661-PA
ENOG410VCV2	Solute carrier family 4 (Anion exchanger), member 1, adaptor protein	ENSPTRP00000020230	GB19054-PA
ENOG410VCVF	Mitochondrial fission process 1	ENSPTRP00000039193	GB18533-PA
ENOG410VCVW	dyslexia susceptibility 1 candidate 1	ENSPTRP00000012133	GB14136-PA
ENOG410V5UC	Hook homolog	ENSPTRP00000034620, ENSPTRP00000059756, ENSPTRP00000001371	GB18499-PA
ENOG410V5UK	NADH dehydrogenase (ubiquinone) complex I, assembly factor 1	ENSPTRP00000011848	GB10721-PA
ENOG410VHSS	ubiquitin-like 3	ENSPTRP00000058837	GB15198-PA
ENOG410VHSG	PDGFA associated protein 1	ENSPTRP00000061241	GB16699-PA
ENOG410VHSH	fatty acid binding protein 7, brain	ENSPTRP00000031694	GB15299-PA
ENOG410VA1Z	chromosome 4 open reading frame 29	ENSPTRP00000028222	GB16779-PA
ENOG410WFEU	sorting nexin 14	ENSPTRP00000031426	GB19651-PA
ENOG410WFET	sorting nexin 16	ENSPTRP00000034863	GB10540-PA
ENOG410WFEY	Sorting nexin 13	ENSPTRP00000032385	GB11899-PA
