ortholog	function	Mus_musculus	Rattus_norvegicus
ENOG410V73K	MTOR associated protein, LST8 homolog (S. cerevisiae)	ENSMUSP00000065004	ENSRNOP00000014269
ENOG410V73J	elastin microfibril interfacer 3	ENSMUSP00000059732	ENSRNOP00000022424
ENOG410V73M	von Willebrand factor A domain containing 3A	ENSMUSP00000033180	ENSRNOP00000032210
ENOG410V73N	solute carrier family 22, member	ENSMUSP00000056082	ENSRNOP00000027925
ENOG410V6HS	3-hydroxy-3-methylglutaryl-CoA synthase	ENSMUSP00000136944, ENSMUSP00000088249	ENSRNOP00000023554, ENSRNOP00000026122
ENOG410VI3D	Pathogen-recognition receptor expressed on the surface of immature dendritic cells (DCs) and involved in initiation of primary immune response. Thought to mediate the endocytosis of pathogens which are subsequently degraded in lysosomal compartments. The receptor returns to the cell membrane surface and the pathogen-derived antigens are presented to resting T-cells via MHC class II proteins to initiate the adaptive immune response. Probably recognizes in a calcium-dependent manner high mannose N-linked oligosaccharides in a variety of pathogen antigens (By similarity)	ENSMUSP00000012847, ENSMUSP00000116355	ENSRNOP00000066466, ENSRNOP00000061888, ENSRNOP00000058440, ENSRNOP00000064020, ENSRNOP00000066537
ENOG410V489	Gamma-aminobutyric acid (GABA) B receptor	ENSMUSP00000025338, ENSMUSP00000103378	ENSRNOP00000011573, ENSRNOP00000047788
ENOG410V488	digestive organ expansion factor homolog	ENSMUSP00000082691	ENSRNOP00000006395
ENOG410V483	ATPase, Ca transporting, type 2C, member	ENSMUSP00000082220, ENSMUSP00000092794	ENSRNOP00000018175, ENSRNOP00000066506
ENOG410V482	cell division cycle 20	ENSMUSP00000114203, ENSMUSP00000006565	ENSRNOP00000037772, ENSRNOP00000005624
ENOG410V481	Sfi1 homolog, spindle assembly associated (yeast)	ENSMUSP00000080066	ENSRNOP00000037698
ENOG410V480	DAZ interacting protein	ENSMUSP00000077475, ENSMUSP00000004055	ENSRNOP00000019902, ENSRNOP00000038595
ENOG410V486	Ribosomal protein L12	ENSMUSP00000117461, ENSMUSP00000084807, ENSMUSP00000136144, ENSMUSP00000111869	ENSRNOP00000041462, ENSRNOP00000021725, ENSRNOP00000053979
ENOG410V485	Numb homolog	ENSMUSP00000078245, ENSMUSP00000119303	ENSRNOP00000054039, ENSRNOP00000048410
ENOG410V484	Suppression of tumorigenicity 7	ENSMUSP00000057326, ENSMUSP00000058455	ENSRNOP00000019129, ENSRNOP00000010219
ENOG410V48X	Retinitis pigmentosa 2 (X-linked recessive)	ENSMUSP00000033372	ENSRNOP00000051952
ENOG410V48S	signal peptide peptidase like 3	ENSMUSP00000031530	ENSRNOP00000001562
ENOG410V48R	C2 calcium-dependent domain containing 3	ENSMUSP00000062637	ENSRNOP00000023802
ENOG410V48Q	Zinc finger, CCHC domain containing 8	ENSMUSP00000031376	ENSRNOP00000001668
ENOG410V48P	Transmembrane protein 87A	ENSMUSP00000105954, ENSMUSP00000087500	ENSRNOP00000011280, ENSRNOP00000023569
ENOG410V48W	SH3-domain GRB2-like	ENSMUSP00000032874, ENSMUSP00000003268, ENSMUSP00000030212	ENSRNOP00000066789, ENSRNOP00000008999, ENSRNOP00000026870
ENOG410V48V	Trinucleotide repeat containing 6C	ENSMUSP00000026658	ENSRNOP00000049430
ENOG410V48K	Centrosomal protein 120kDa	ENSMUSP00000062433	ENSRNOP00000023236
ENOG410V48J	Epoxide hydrolase 1, microsomal (Xenobiotic)	ENSMUSP00000047551	ENSRNOP00000004780
ENOG410V48I	Tripartite motif containing 72	ENSMUSP00000079832	ENSRNOP00000030976
ENOG410V48H	sphingosine-1-phosphate lyase 1	ENSMUSP00000090155	ENSRNOP00000059089
ENOG410V48M	ATP-binding cassette, sub-family C (CFTR MRP), member	ENSMUSP00000026208, ENSMUSP00000033123, ENSMUSP00000097743, ENSMUSP00000002850, ENSMUSP00000021231, ENSMUSP00000084805, ENSMUSP00000042186	ENSRNOP00000041695, ENSRNOP00000051412, ENSRNOP00000003977, ENSRNOP00000033826, ENSRNOP00000028696, ENSRNOP00000064799
ENOG410V48C	hippocampus abundant transcript 1	ENSMUSP00000029570, ENSMUSP00000062566	ENSRNOP00000020907, ENSRNOP00000060101, ENSRNOP00000064285
ENOG410V48B	Meckel syndrome type 1	ENSMUSP00000043790	ENSRNOP00000011500
ENOG410V48A	stimulated by retinoic acid 6 homolog (mouse)	ENSMUSP00000034880	ENSRNOP00000011074
ENOG410V48F	RWD domain containing 3	ENSMUSP00000102075	ENSRNOP00000039966
ENOG410V48E	solute carrier family 41 member	ENSMUSP00000037473, ENSMUSP00000083747, ENSMUSP00000036690	ENSRNOP00000065688, ENSRNOP00000060385, ENSRNOP00000011572
ENOG410V48D	cystathionase (cystathionine gamma-lyase)	ENSMUSP00000113672	ENSRNOP00000058914
ENOG410V6HJ	dynein, axonemal, assembly factor 1	ENSMUSP00000090790	ENSRNOP00000020917
ENOG410V992	SR-related CTD-associated factor 8	ENSMUSP00000076024	ENSRNOP00000062541
ENOG410V8MS	O-acyltransferase	ENSMUSP00000064041, ENSMUSP00000012331, ENSMUSP00000036845, ENSMUSP00000033001	ENSRNOP00000036315, ENSRNOP00000037695, ENSRNOP00000022557
ENOG410V6TY	Swi SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1	ENSMUSP00000083806, ENSMUSP00000047589	ENSRNOP00000064323, ENSRNOP00000005355
ENOG410VIEH	CDKN2A interacting protein N-terminal like	ENSMUSP00000099824	ENSRNOP00000006708
ENOG410VBSP	pancreatic	ENSMUSP00000056377, ENSMUSP00000026081, ENSMUSP00000045465	ENSRNOP00000024164, ENSRNOP00000063609, ENSRNOP00000024065
ENOG410WJUE	May play a role in T-helper cell development and the regulation of asthma and allergic diseases. Receptor for TIMD4. May play a role in kidney injury and repair (By similarity)	ENSMUSP00000043827	ENSRNOP00000009573
ENOG410V5M9	MMS22-like, DNA repair protein	ENSMUSP00000103857	ENSRNOP00000009545
ENOG410V5M8	CUGBP, Elav-like family member	ENSMUSP00000034840, ENSMUSP00000110574, ENSMUSP00000005643, ENSMUSP00000111483, ENSMUSP00000029784, ENSMUSP00000113675	ENSRNOP00000014484, ENSRNOP00000014450, ENSRNOP00000023436, ENSRNOP00000057932, ENSRNOP00000028324
ENOG410V5M5	L-lactate dehydrogenase	ENSMUSP00000014545, ENSMUSP00000103267, ENSMUSP00000032373	ENSRNOP00000017965, ENSRNOP00000017468, ENSRNOP00000017851
ENOG410V5M7	solute carrier family 5 (sodium glucose cotransporter), member	ENSMUSP00000113582, ENSMUSP00000020450	ENSRNOP00000001750, ENSRNOP00000027265, ENSRNOP00000044352
ENOG410V5M6	wilms tumor 1 associated protein	ENSMUSP00000007007	ENSRNOP00000025936
ENOG410V5M1	Apolipoprotein B mRNA editing enzyme catalytic polypeptide-like	ENSMUSP00000105249	ENSRNOP00000034183
ENOG410V5M0	unc-51-like kinase 3 (C. elegans)	ENSMUSP00000059947	ENSRNOP00000025885
ENOG410V5M3	Golgin A4	ENSMUSP00000081880	ENSRNOP00000039533
ENOG410V5M2	MAGUK p55 subfamily member	ENSMUSP00000111535, ENSMUSP00000055469, ENSMUSP00000109914, ENSMUSP00000080683	ENSRNOP00000012005, ENSRNOP00000028264, ENSRNOP00000025458, ENSRNOP00000014094
ENOG410V5MH	ELK1, member of ETS oncogene family	ENSMUSP00000009550	ENSRNOP00000013522
ENOG410V5ME	olfactory receptor family 52 subfamily	ENSMUSP00000061272, ENSMUSP00000095784, ENSMUSP00000061078, ENSMUSP00000095776	ENSRNOP00000035758, ENSRNOP00000023349, ENSRNOP00000022789
ENOG410V5MD	Mitochondrial amidoxime reducing component	ENSMUSP00000066715, ENSMUSP00000106620	ENSRNOP00000065086, ENSRNOP00000034963, ENSRNOP00000005459
ENOG410V5MG	solute carrier family 35, member G1	ENSMUSP00000061282	ENSRNOP00000039567
ENOG410V5MF	HYDIN, axonemal central pair apparatus protein	ENSMUSP00000046204	ENSRNOP00000055920, ENSRNOP00000023117
ENOG410V5MC	Interacts with a second catalytic subunit to form an active queuine tRNA-ribosyltransferase. This enzyme exchanges queuine for the guanine at the wobble position of tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr), thereby forming the hypermodified nucleoside queuosine (Q) (7-(((4,5-cis-dihydroxy-2- cyclopenten-1-yl)amino)methyl)-7-deazaguanosine) (By similarity)	ENSMUSP00000023387	ENSRNOP00000066820
ENOG410V5MB	5-oxoprolinase (ATP-hydrolysing)	ENSMUSP00000023222	ENSRNOP00000016424
ENOG410V5MX	Chromodomain helicase DNA binding protein	ENSMUSP00000087184, ENSMUSP00000042291, ENSMUSP00000046356, ENSMUSP00000043903	ENSRNOP00000022593, ENSRNOP00000022861, ENSRNOP00000008901
ENOG410V5MZ	transmembrane anterior posterior transformation 1	ENSMUSP00000062110	ENSRNOP00000004274
ENOG410V5MT	immunoresponsive 1 homolog (mouse)	ENSMUSP00000022722	ENSRNOP00000013182
ENOG410V5MW	Calcium and integrin binding family member 3	ENSMUSP00000096231	ENSRNOP00000019578
ENOG410V5MV	Splicing factor 3A subunit 3	ENSMUSP00000030734	ENSRNOP00000010373
ENOG410V5MQ	CD2 (cytoplasmic tail) binding protein 2	ENSMUSP00000044790	ENSRNOP00000023285
ENOG410V5MS	solute carrier family 38, member 7	ENSMUSP00000037023	ENSRNOP00000058216
ENOG410V5MR	O-linked N-acetylglucosamine (GlcNAc) transferase	ENSMUSP00000045409	ENSRNOP00000004692
ENOG410VANB	Ankyrin repeat and zinc finger domain containing 1	ENSMUSP00000136163	ENSRNOP00000036500
ENOG410VAND	peptidyl-tRNA hydrolase 1 homolog (S. cerevisiae)	ENSMUSP00000068850	ENSRNOP00000057009
ENOG410VANG	Olfactory receptor	ENSMUSP00000081872	ENSRNOP00000067010
ENOG410VANM	Olfactory receptor	ENSMUSP00000061693	ENSRNOP00000045931
ENOG410VANN	CASP8 and FADD-like apoptosis regulator	ENSMUSP00000065107, ENSMUSP00000137636	ENSRNOP00000016730
ENOG410VANP	R-spondin 1	ENSMUSP00000030687	ENSRNOP00000012811
ENOG410VANT	IBA57, iron-sulfur cluster assembly homolog (S. cerevisiae)	ENSMUSP00000049823	ENSRNOP00000038337
ENOG410VANU	WD repeat containing, antisense to TP73	ENSMUSP00000030895	ENSRNOP00000019873
ENOG410VANV	THAP domain containing, apoptosis associated protein 3	ENSMUSP00000035240	ENSRNOP00000052352
ENOG410VAN1	SET domain containing (Lysine methyltransferase) 8	ENSMUSP00000052953	ENSRNOP00000065285, ENSRNOP00000062763
ENOG410VAN2	Steroidogenic acute regulatory protein	ENSMUSP00000033979	ENSRNOP00000020606
ENOG410VAN3	shisa homolog 4 (Xenopus laevis)	ENSMUSP00000046033	ENSRNOP00000009712
ENOG410VAN5	Spermatogenesis associated 18	ENSMUSP00000064308	ENSRNOP00000002899
ENOG410VAN6	ubiquitin-fold modifier conjugating enzyme 1	ENSMUSP00000078914	ENSRNOP00000004938
ENOG410VAN7	sphingosine-1-phosphate receptor 2	ENSMUSP00000053394	ENSRNOP00000028034
ENOG410VAN8	platelet-derived growth factor alpha polypeptide	ENSMUSP00000075463	ENSRNOP00000001775
ENOG410VAN9	G- protein-coupled receptor	ENSMUSP00000061243, ENSMUSP00000057510	ENSRNOP00000066936, ENSRNOP00000021894, ENSRNOP00000064586
ENOG410V60T	Nuclear autoantigenic sperm protein (Histone-binding)	ENSMUSP00000030456	ENSRNOP00000022170
ENOG410V60W	2',3'-cyclic nucleotide 3' phosphodiesterase	ENSMUSP00000099409	ENSRNOP00000023875
ENOG410V60V	E2F transcription factor	ENSMUSP00000015003, ENSMUSP00000029069	ENSRNOP00000044464, ENSRNOP00000021145
ENOG410V60Y	CUB domain containing protein 2	ENSMUSP00000061401	ENSRNOP00000012427
ENOG410V60Z	Protein Tyrosine Phosphatase	ENSMUSP00000033142, ENSMUSP00000064392	ENSRNOP00000006401
ENOG410V60C	WD repeat containing, antisense to TP53	ENSMUSP00000047825	ENSRNOP00000014261
ENOG410V60E	threonine synthase-like 2 (S. cerevisiae)	ENSMUSP00000073861	ENSRNOP00000008698
ENOG410V60G	chromosome 12 open reading frame 29	ENSMUSP00000062410	ENSRNOP00000030713
ENOG410V60I	AT rich interactive domain	ENSMUSP00000019708, ENSMUSP00000004780, ENSMUSP00000081748	ENSRNOP00000039046, ENSRNOP00000026708, ENSRNOP00000062477
ENOG410V602	integrin, beta	ENSMUSP00000028348, ENSMUSP00000021028, ENSMUSP00000069416, ENSMUSP00000000299, ENSMUSP00000001327, ENSMUSP00000087457	ENSRNOP00000001639, ENSRNOP00000016642, ENSRNOP00000054350, ENSRNOP00000014785, ENSRNOP00000011030
ENOG410V605	Polo-like kinase	ENSMUSP00000022212, ENSMUSP00000033154, ENSMUSP00000076130	ENSRNOP00000016768, ENSRNOP00000025197, ENSRNOP00000025629
ENOG410V604	RING finger protein	ENSMUSP00000118474, ENSMUSP00000095702	ENSRNOP00000057548, ENSRNOP00000056951
ENOG410V6Q0	general transcription factor IIH, polypeptide 3	ENSMUSP00000031333	ENSRNOP00000001368
ENOG410V6Q4	NudC domain containing 3	ENSMUSP00000064668	ENSRNOP00000065017
ENOG410V99B	consortin, connexin sorting protein	ENSMUSP00000048205	ENSRNOP00000003641
ENOG410V5G1	Ankyrin repeat and MYND domain containing 1	ENSMUSP00000108622	ENSRNOP00000067107
ENOG410V5G6	Cadherins are calcium dependent cell adhesion proteins (By similarity)	ENSMUSP00000027542, ENSMUSP00000074681, ENSMUSP00000130851, ENSMUSP00000117326	ENSRNOP00000014013, ENSRNOP00000029177, ENSRNOP00000062147, ENSRNOP00000018535, ENSRNOP00000049491
ENOG410V4HJ	Discoidin domain receptor tyrosine kinase	ENSMUSP00000003628, ENSMUSP00000027985	ENSRNOP00000001102, ENSRNOP00000003901
ENOG410V4HC	kiaa0196	ENSMUSP00000022976	ENSRNOP00000013315
ENOG410V4HZ	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)	ENSMUSP00000132735	ENSRNOP00000046491, ENSRNOP00000003106
ENOG410V4HR	chromosome X open reading frame 21	ENSMUSP00000109609	ENSRNOP00000004977
ENOG410V4HT	Deltex homolog	ENSMUSP00000040229, ENSMUSP00000106772, ENSMUSP00000031607	ENSRNOP00000028626, ENSRNOP00000001950, ENSRNOP00000066399
ENOG410V4H2	transcription elongation regulator	ENSMUSP00000025375	ENSRNOP00000025467, ENSRNOP00000033445, ENSRNOP00000023229
ENOG410V4H0	RD RNA binding protein	ENSMUSP00000094956	ENSRNOP00000000478
ENOG410V4H7	EPH receptor B4	ENSMUSP00000106684	ENSRNOP00000067602
ENOG410V4H6	G- protein-coupled receptor	ENSMUSP00000049708, ENSMUSP00000091474	ENSRNOP00000038884, ENSRNOP00000052295
ENOG410V5GI	diacylglycerol kinase	ENSMUSP00000106934, ENSMUSP00000099071	ENSRNOP00000024280, ENSRNOP00000034571
ENOG410VJB9	Vesicle-associated membrane protein 5	ENSMUSP00000073852	ENSRNOP00000016984
ENOG410VJB3	transmembrane protein 88B	ENSMUSP00000095349	ENSRNOP00000052210
ENOG410VJB2	cD300 molecule-like family member	ENSMUSP00000097810, ENSMUSP00000102188, ENSMUSP00000090116, ENSMUSP00000097811, ENSMUSP00000047022	ENSRNOP00000036953
ENOG410VJB7	chromosome 22 open reading frame 39	ENSMUSP00000060363	ENSRNOP00000066879
ENOG410VJB5	S100 calcium binding protein A13	ENSMUSP00000047737	ENSRNOP00000016519
ENOG410VJBX	Cytochrome c oxidase subunit VIb polypeptide 2	ENSMUSP00000064988	ENSRNOP00000035591
ENOG410VJBS	histone cluster 1, H1a	ENSMUSP00000062030	ENSRNOP00000023054
ENOG410VJBR	chromosome 1 open reading frame 122	ENSMUSP00000130892	ENSRNOP00000060637
ENOG410VJBQ	ATPase inhibitory factor 1	ENSMUSP00000064282	ENSRNOP00000066951, ENSRNOP00000018038
ENOG410VJBW	meiosis expressed gene 1	ENSMUSP00000070310	ENSRNOP00000021919
ENOG410VJBV	ripply2 homolog (zebrafish)	ENSMUSP00000055369	ENSRNOP00000013285
ENOG410VJBJ	mitochondrial ribosomal protein 63	ENSMUSP00000022538	ENSRNOP00000063888
ENOG410VJBI	polymerase (DNA-directed), delta 4, accessory subunit	ENSMUSP00000137813, ENSMUSP00000025773	ENSRNOP00000025507
ENOG410VJBM	Secretory leukocyte peptidase inhibitor	ENSMUSP00000104992	ENSRNOP00000067486, ENSRNOP00000066055, ENSRNOP00000018738
ENOG410VJBC	Transmembrane protein 218	ENSMUSP00000034632	ENSRNOP00000012060
ENOG410VJBB	Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(0) domain. Minor subunit located with subunit a in the membrane	ENSMUSP00000136375, ENSMUSP00000047960, ENSMUSP00000125922, ENSMUSP00000136869	ENSRNOP00000040969
ENOG410VJBD	Cystatin 11	ENSMUSP00000028934	ENSRNOP00000006427
ENOG410VKP4	sperm associated antigen 11B	ENSMUSP00000048125	ENSRNOP00000040559
ENOG410VFII	Peroxiredoxin 5	ENSMUSP00000025904	ENSRNOP00000028687
ENOG410V6QR	transmembrane protein 151B	ENSMUSP00000076321, ENSMUSP00000136337	ENSRNOP00000037989
ENOG410WDZ6	V-set and immunoglobulin domain containing 4	ENSMUSP00000051521	ENSRNOP00000036992
ENOG410VAQ6	chromosome 6 open reading frame 47	ENSMUSP00000061264	ENSRNOP00000057545
ENOG410V6QG	IKAROS family zinc finger 5 (Pegasus)	ENSMUSP00000035583	ENSRNOP00000036563
ENOG410VC1B	zinc finger protein 648	ENSMUSP00000083370	ENSRNOP00000044433
ENOG410VC1P	BET3 like (S. cerevisiae)	ENSMUSP00000093432	ENSRNOP00000048447
ENOG410VC1Y	gametogenetin binding protein 1	ENSMUSP00000051800	ENSRNOP00000000577
ENOG410VKD8	Prostate and testis expressed 2	ENSMUSP00000113239	ENSRNOP00000057193
ENOG410VKD0	Proline rich 24	ENSMUSP00000127027	ENSRNOP00000065106
ENOG410VKD7	chromosome 4 open reading frame 48	ENSMUSP00000092467	ENSRNOP00000054870
ENOG410VKDA	ATX1 antioxidant protein 1 homolog (yeast)	ENSMUSP00000104485	ENSRNOP00000017588
ENOG410VKDC	Diazepam-binding inhibitor-like	ENSMUSP00000039763	ENSRNOP00000010227
ENOG410VKDD	ABRA C-terminal like	ENSMUSP00000020002	ENSRNOP00000016618
ENOG410VKDZ	MORN repeat containing 2	ENSMUSP00000051408	ENSRNOP00000043297
ENOG410VKDR	ribosomal protein L22	ENSMUSP00000099480	ENSRNOP00000014905
ENOG410VKDS	odorant binding	ENSMUSP00000052804, ENSMUSP00000085528, ENSMUSP00000109673	ENSRNOP00000064887, ENSRNOP00000039557
ENOG410VKDU	secretoglobin family 1C member 1	ENSMUSP00000048722	ENSRNOP00000017137
ENOG410V582	Fc receptor-like	ENSMUSP00000050151, ENSMUSP00000088508	ENSRNOP00000041357, ENSRNOP00000021938
ENOG410V580	Lysosomal protein transmembrane 4 beta	ENSMUSP00000022867	ENSRNOP00000008969
ENOG410V581	taxilin alpha	ENSMUSP00000042153, ENSMUSP00000038615, ENSMUSP00000044936	ENSRNOP00000016553, ENSRNOP00000064617
ENOG410V587	asparagine synthetase domain containing 1	ENSMUSP00000027264	ENSRNOP00000056002
ENOG410V584	G1 to S phase transition	ENSMUSP00000078940, ENSMUSP00000109523	ENSRNOP00000067103, ENSRNOP00000003213
ENOG410V585	Dermatan sulfate epimerase	ENSMUSP00000040074	ENSRNOP00000001093
ENOG410V588	serine threonine-protein kinase	ENSMUSP00000038139	ENSRNOP00000053062
ENOG410V58A	X-ray repair complementing defective repair in Chinese hamster cells 6	ENSMUSP00000068559	ENSRNOP00000061920
ENOG410V58D	ER lipid raft associated	ENSMUSP00000033873, ENSMUSP00000071618	ENSRNOP00000017268, ENSRNOP00000018973
ENOG410V58J	Uridine monophosphate synthetase	ENSMUSP00000023510	ENSRNOP00000002450
ENOG410V58I	minichromosome maintenance complex component 8	ENSMUSP00000066842	ENSRNOP00000028898
ENOG410V58N	tsukushi small leucine rich proteoglycan homolog (Xenopus laevis)	ENSMUSP00000091713	ENSRNOP00000029957
ENOG410V58M	ethanolamine kinase	ENSMUSP00000032413, ENSMUSP00000114272	ENSRNOP00000020042
ENOG410V58R	vacuolar protein sorting 18 homolog (S. cerevisiae)	ENSMUSP00000036915	ENSRNOP00000018717
ENOG410V58S	Eukaryotic translation elongation factor 1 delta (Guanine nucleotide exchange protein)	ENSMUSP00000087110	ENSRNOP00000034828
ENOG410V58P	Proteasome (Prosome, macropain) 26S subunit, ATPase, 1	ENSMUSP00000021595	ENSRNOP00000005329
ENOG410V58V	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	ENSMUSP00000000769	ENSRNOP00000004313
ENOG410V58T	Ubiquitination factor E4B	ENSMUSP00000099501	ENSRNOP00000052435
ENOG410V58U	G protein-coupled receptor 114	ENSMUSP00000132628	ENSRNOP00000057982
ENOG410V58Y	FGFR1 oncogene partner	ENSMUSP00000095030	ENSRNOP00000017590
ENOG410VA5A	ddb1 and cul4 associated factor 13	ENSMUSP00000022909	ENSRNOP00000005803
ENOG410VA5C	tyrosine aminotransferase	ENSMUSP00000001720	ENSRNOP00000022721
ENOG410VA5E	Suppressor of Ty 7 (S. cerevisiae)-like	ENSMUSP00000067337	ENSRNOP00000006543
ENOG410VA5D	UV-stimulated scaffold protein A	ENSMUSP00000085170	ENSRNOP00000006841
ENOG410VA5G	Keratan sulfate proteoglycan lumican	ENSMUSP00000040877	ENSRNOP00000006109
ENOG410VA5K	family with sequence similarity 211, member	ENSMUSP00000053085	ENSRNOP00000066347, ENSRNOP00000036235
ENOG410VA5J	CAlSYntenin	ENSMUSP00000036962, ENSMUSP00000035027, ENSMUSP00000008297	ENSRNOP00000060748, ENSRNOP00000047223, ENSRNOP00000015570
ENOG410VA5M	sorting nexin	ENSMUSP00000070915, ENSMUSP00000028909, ENSMUSP00000005798	ENSRNOP00000031258, ENSRNOP00000007300, ENSRNOP00000008934
ENOG410VA5N	coenzyme Q6 homolog, monooxygenase (S. cerevisiae)	ENSMUSP00000021661	ENSRNOP00000014914
ENOG410VA5Q	family with sequence similarity 184, member B	ENSMUSP00000016023	ENSRNOP00000004923
ENOG410VA5P	solute carrier family 25 (aspartate glutamate carrier), member	ENSMUSP00000122103, ENSMUSP00000015256	ENSRNOP00000013816
ENOG410VA5R	suppressor of glucose, autophagy associated 1	ENSMUSP00000066556	ENSRNOP00000008267
ENOG410VA5U	Lysyl oxidase	ENSMUSP00000057406, ENSMUSP00000025409	ENSRNOP00000032184, ENSRNOP00000065314
ENOG410VA5T	BCL2-antagonist killer 1	ENSMUSP00000077757	ENSRNOP00000000576
ENOG410VA5W	wntless homolog (Drosophila)	ENSMUSP00000067898	ENSRNOP00000052120
ENOG410VA5Y	kit ligand	ENSMUSP00000100920	ENSRNOP00000008471
ENOG410VA5X	Structure specific recognition protein 1	ENSMUSP00000076971	ENSRNOP00000012022
ENOG410VA50	receptor-like tyrosine kinase	ENSMUSP00000135858	ENSRNOP00000063141
ENOG410VA55	Chondroitin sulfate proteoglycan	ENSMUSP00000119993, ENSMUSP00000038909	ENSRNOP00000057404, ENSRNOP00000023326
ENOG410VA54	Cadherins are calcium dependent cell adhesion proteins (By similarity)	ENSMUSP00000000314, ENSMUSP00000025166	ENSRNOP00000021170
ENOG410VA57	Splicing regulatory glutamine lysine-rich protein 1	ENSMUSP00000074196	ENSRNOP00000049050
ENOG410VA56	sterile alpha motif domain containing 7	ENSMUSP00000103897	ENSRNOP00000030145
ENOG410VJW9	Neuronatin	ENSMUSP00000105152	ENSRNOP00000064325
ENOG410VJWP	chromosome 16 open reading frame 92	ENSMUSP00000049614	ENSRNOP00000049114
ENOG410VJWC	Chromosome 1 open reading frame 86	ENSMUSP00000137116	ENSRNOP00000052229
ENOG410VJWE	Unknown	ENSMUSP00000104453, ENSMUSP00000013797	ENSRNOP00000003797, ENSRNOP00000055332
ENOG410VH3Q	Tryp_SPc	ENSMUSP00000031935	ENSRNOP00000041980
ENOG410VH3H	Linker for activation of T cells	ENSMUSP00000032997	ENSRNOP00000023563
ENOG410VI8D	chromosome X open reading frame 48	ENSMUSP00000123472	ENSRNOP00000067803
ENOG410VMM6	family with sequence similarity 104, member B	ENSMUSP00000132541	ENSRNOP00000064330
ENOG410VMM8	Unknown	ENSMUSP00000107786	ENSRNOP00000053770
ENOG410V4JX	Esterase D	ENSMUSP00000022573	ENSRNOP00000013324
ENOG410V4JW	chromosome 2 open reading frame 65	ENSMUSP00000109613	ENSRNOP00000009701
ENOG410V6G6	bleomycin hydrolase	ENSMUSP00000021197	ENSRNOP00000005125
ENOG410V6G7	core-binding factor, runt domain, alpha subunit 2	ENSMUSP00000043087, ENSMUSP00000118997, ENSMUSP00000095857	ENSRNOP00000021907, ENSRNOP00000019820, ENSRNOP00000063830
ENOG410V6G0	DNA (Cytosine-5)-methyltransferase 1	ENSMUSP00000004202	ENSRNOP00000063831
ENOG410V6GE	calneuron 1	ENSMUSP00000083193	ENSRNOP00000001185
ENOG410V6GM	vesicle-associated membrane protein 7	ENSMUSP00000052262	ENSRNOP00000011065
ENOG410V6GJ	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth	ENSMUSP00000079888	ENSRNOP00000040635
ENOG410V6GU	coiled-coil domain containing 64	ENSMUSP00000053547	ENSRNOP00000001515
ENOG410V6GQ	chromosome 1 open reading frame 114	ENSMUSP00000027867	ENSRNOP00000003844
ENOG410V6A3	family with sequence similarity 198, member B	ENSMUSP00000029567	ENSRNOP00000013525
ENOG410V6A1	platelet-derived growth factor beta polypeptide	ENSMUSP00000000500	ENSRNOP00000023196
ENOG410V6A6	Rho-related BTB domain containing	ENSMUSP00000022665, ENSMUSP00000020101	ENSRNOP00000000784, ENSRNOP00000023872
ENOG410V6A4	tRNA splicing endonuclease 54 homolog (S. cerevisiae)	ENSMUSP00000021134	ENSRNOP00000006327
ENOG410V6A5	WD repeat domain 47	ENSMUSP00000057482	ENSRNOP00000052715
ENOG410V6A8	Up-regulator of cell proliferation	ENSMUSP00000006667, ENSMUSP00000102377, ENSMUSP00000091053	ENSRNOP00000016468
ENOG410V6A9	inversin	ENSMUSP00000030029	ENSRNOP00000011622
ENOG410V6AB	sorting nexin	ENSMUSP00000060225, ENSMUSP00000104864, ENSMUSP00000002436	ENSRNOP00000063122, ENSRNOP00000023428, ENSRNOP00000066186
ENOG410V6AA	WD repeat domain 83	ENSMUSP00000091048	ENSRNOP00000005917
ENOG410V6AF	jun proto-oncogene	ENSMUSP00000092901, ENSMUSP00000054270	ENSRNOP00000011732, ENSRNOP00000026470
ENOG410V6AG	acyl-CoA dehydrogenase	ENSMUSP00000011492, ENSMUSP00000099634	ENSRNOP00000024973, ENSRNOP00000019108
ENOG410V6AE	Spindle and kinetochore associated complex subunit 1	ENSMUSP00000049156	ENSRNOP00000020637
ENOG410V6AJ	RAB7A, member RAS oncogene family	ENSMUSP00000092658	ENSRNOP00000016432
ENOG410V6AK	DnaJ (Hsp40) homolog, subfamily C, member 21	ENSMUSP00000116865	ENSRNOP00000024218
