ortholog	function	Homo_sapiens	Pan_troglodytes
ENOG410VK9M	transmembrane protein 167B	ENSP00000342148	ENSPTRP00000040882
ENOG410V5NT	Specifically acetylates 'Lys-40' in alpha-tubulin on the lumenal side of microtubules. May affect microtubule stability and regulate microtubule dynamics. May be involved in neuron development (By similarity)	ENSP00000394914, ENSP00000409067, ENSP00000411050, ENSP00000416994, ENSP00000327832, ENSP00000373079, ENSP00000398422	ENSPTRP00000030594
ENOG410V5NV	Death-associated protein kinase	ENSP00000301264, ENSP00000261891, ENSP00000350785	ENSPTRP00000041316, ENSPTRP00000017483, ENSPTRP00000012230
ENOG410V5NW	cell division cycle 40 homolog (S. cerevisiae)	ENSP00000304370	ENSPTRP00000031586
ENOG410V5NP	UDP-Gal betaGlcNAc beta 1,4- galactosyltransferase, polypeptide	ENSP00000369055, ENSP00000320965, ENSP00000310696	ENSPTRP00000001130, ENSPTRP00000002640, ENSPTRP00000035661
ENOG410V5N1	peroxisomal biogenesis factor 7	ENSP00000315680	ENSPTRP00000031819
ENOG410V5N2	Olfactory receptor	ENSP00000308764, ENSP00000409094	ENSPTRP00000048291, ENSPTRP00000061364
ENOG410V5N3	protein disulfide isomerase family A, member 2	ENSP00000327801, ENSP00000219406	ENSPTRP00000016636
ENOG410V5E7	NADH dehydrogenase (ubiquinone) complex I, assembly factor 5	ENSP00000367346	ENSPTRP00000022744
ENOG410V5ET	solute carrier family 1 (glial high affinity glutamate transporter), member	ENSP00000265113, ENSP00000262352, ENSP00000221742, ENSP00000360549, ENSP00000278379	ENSPTRP00000001284, ENSPTRP00000006085, ENSPTRP00000028807, ENSPTRP00000049497
ENOG410V5EW	Transmembrane protein 214	ENSP00000238788	ENSPTRP00000020182
ENOG410V5EV	homeobox B4	ENSP00000328928	ENSPTRP00000015903
ENOG410V5ES	Reversion-inducing-cysteine-rich protein with kazal motifs	ENSP00000367202	ENSPTRP00000035794
ENOG410V5ER	vacuolar protein sorting 39 homolog (S. cerevisiae)	ENSP00000326534	ENSPTRP00000011895
ENOG410V5EY	TBC1 domain family, member 23	ENSP00000377700	ENSPTRP00000026164
ENOG410V5EG	glutamate receptor, ionotropic, n-methyl d-aspartate	ENSP00000293190, ENSP00000279593, ENSP00000360608, ENSP00000263269, ENSP00000332549	ENSPTRP00000008060, ENSPTRP00000016345, ENSPTRP00000041565, ENSPTRP00000013242
ENOG410V5EF	phytanoyl-CoA dioxygenase domain containing 1	ENSP00000309515	ENSPTRP00000036668
ENOG410V5EM	UDP-GlcNAc betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1	ENSP00000319979	ENSPTRP00000016702
ENOG410V5EJ	Glycerol kinase	ENSP00000418001	ENSPTRP00000026652
ENOG410VAVH	Short stature homeobox	ENSP00000398704, ENSP00000419362, ENSP00000370990	ENSPTRP00000037021
ENOG410VAVI	Nitric oxide synthase trafficker	ENSP00000394051, ENSP00000460353	ENSPTRP00000021535
ENOG410VAVN	Converts protoheme IX and farnesyl diphosphate to heme O (By similarity)	ENSP00000261643	ENSPTRP00000014984
ENOG410VAVB	Cbp p300-interacting transactivator, with Glu Asp-rich carboxy-terminal domain	ENSP00000356623	ENSPTRP00000031846
ENOG410VAVS	Fc receptor-like 1	ENSP00000357158	ENSPTRP00000002521
ENOG410VAVV	Ectonucleoside triphosphate diphosphohydrolase	ENSP00000351520, ENSP00000359520	ENSPTRP00000034382, ENSPTRP00000004974
ENOG410VAVW	ninein-like	ENSP00000278886	ENSPTRP00000022877
ENOG410VAV8	Crm, cramped-like (Drosophila)	ENSP00000293925	ENSPTRP00000012990
ENOG410VAV9	Small nuclear RNA activating complex, polypeptide 4, 190kDa	ENSP00000298532	ENSPTRP00000036908
ENOG410VAV0	LIM homeobox transcription factor 1	ENSP00000347684, ENSP00000294816	ENSPTRP00000036533, ENSPTRP00000002699
ENOG410VAV1	INO80 complex subunit E	ENSP00000457016	ENSPTRP00000058448
ENOG410VAV3	Olfactory receptor, family 8, subfamily	ENSP00000325381, ENSP00000284287	ENSPTRP00000007550, ENSPTRP00000007557
ENOG410VAV4	regulator of G-protein signaling 13	ENSP00000375853	ENSPTRP00000051398
ENOG410VAV5	Potassium large conductance calcium-activated channel, subfamily M, alpha member 1	ENSP00000385806, ENSP00000382770	ENSPTRP00000056224
ENOG410VAV6	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 1	ENSP00000411611, ENSP00000365318, ENSP00000383142, ENSP00000395544, ENSP00000408426, ENSP00000394486, ENSP00000396656	ENSPTRP00000054519
ENOG410VAV7	ribosomal protein L9	ENSP00000346022	ENSPTRP00000061373
ENOG410VPV0	RAB41, member RAS oncogene family	ENSP00000276066	ENSPTRP00000037797
ENOG410VXPW	chromosome 21 open reading frame 67	ENSP00000380941	ENSPTRP00000024088
ENOG410VAC8	Leucine rich repeat containing 59	ENSP00000225972	ENSPTRP00000015962
ENOG410VAC6	paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)	ENSP00000221265	ENSPTRP00000018794
ENOG410VACI	Spermatogenesis associated 20	ENSP00000006658	ENSPTRP00000015968
ENOG410VACN	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 3	ENSP00000428316	ENSPTRP00000059703
ENOG410VACM	nuclear receptor subfamily 0, group B, member 1	ENSP00000368253	ENSPTRP00000047467
ENOG410VACD	NTPase, KAP family P-loop domain containing 1	ENSP00000321976	ENSPTRP00000019119
ENOG410VACY	Dihydropyrimidine dehydrogenase	ENSP00000359211	ENSPTRP00000001697
ENOG410VACX	Kruppel-like factor 15	ENSP00000296233	ENSPTRP00000026425
ENOG410VACS	Ankyrin repeat and sterile alpha motif domain containing 4B	ENSP00000320076, ENSP00000308772	ENSPTRP00000013409, ENSPTRP00000016349
ENOG410VACR	spermatogenesis associated 17	ENSP00000355900	ENSPTRP00000003335
ENOG410VACQ	UDP-N-acetyl-alpha-D-galactosamine polypeptide N-acetylgalactosaminyltransferase	ENSP00000265000, ENSP00000423313, ENSP00000297107	ENSPTRP00000028480, ENSPTRP00000029801, ENSPTRP00000028482
ENOG410VACT	protein phosphatase 1, regulatory subunit 21	ENSP00000294952	ENSPTRP00000020445
ENOG410VHRQ	angiogenin, ribonuclease, RNase A family, 5	ENSP00000336762	ENSPTRP00000054974
ENOG410VJJ8	cell division cycle 26 homolog (S. cerevisiae)	ENSP00000363322	ENSPTRP00000036337
ENOG410VJJE	brain expressed, X-linked 4	ENSP00000361776	ENSPTRP00000061339
ENOG410VJJD	COMM domain containing 6	ENSP00000348054	ENSPTRP00000053460
ENOG410VJJV	COX assembly mitochondrial protein 1 homolog (S. cerevisiae)	ENSP00000418348	ENSPTRP00000025368
ENOG410VJJU	vesicle-associated membrane protein 8	ENSP00000263864	ENSPTRP00000020817
ENOG410VJJT	ZMYM6 neighbor	ENSP00000362435	ENSPTRP00000000910
ENOG410V7WR	One gap junction consists of a cluster of closely packed pairs of transmembrane channels, the connexons, through which materials of low MW diffuse from one cell to a neighboring cell	ENSP00000462620, ENSP00000240986, ENSP00000241125, ENSP00000271348, ENSP00000463851	ENSPTRP00000060326, ENSPTRP00000009694, ENSPTRP00000002081
ENOG410VFHZ	HAUS augmin-like complex subunit 2	ENSP00000260372	ENSPTRP00000011914
ENOG410VFHP	RAB, member RAS oncogene family-like 5	ENSP00000320359	ENSPTRP00000033434
ENOG410VFHU	Troponin I type	ENSP00000341838, ENSP00000337022, ENSP00000252898	ENSPTRP00000046212, ENSPTRP00000048481, ENSPTRP00000003069
ENOG410VFHW	collagen, type XXIII, alpha 1	ENSP00000375069	ENSPTRP00000030067
ENOG410VFHV	glycine cleavage system protein H (aminomethyl carrier)	ENSP00000319531	ENSPTRP00000014317
ENOG410VFHI	triggering receptor expressed on myeloid cells-like 1	ENSP00000402855	ENSPTRP00000031014
ENOG410VFHJ	zinc finger protein 556	ENSP00000302603	ENSPTRP00000017415
ENOG410VFHA	chromosome 1 open reading frame 94	ENSP00000435634	ENSPTRP00000000906
ENOG410VFHF	Myosin heavy chain 15	ENSP00000273353	ENSPTRP00000026215
ENOG410VFH9	receptor (chemosensory) transporter protein 2	ENSP00000350976	ENSPTRP00000045318
ENOG410VFH1	Fanconi anemia, complementation group F	ENSP00000330875	ENSPTRP00000005997
ENOG410VFH0	solute carrier family 25, member 41	ENSP00000322649	ENSPTRP00000017630
ENOG410VFH5	NME NM23 nucleoside diphosphate kinase 3	ENSP00000219302	ENSPTRP00000012998
ENOG410WEW8	Zinc finger protein 320	ENSP00000375660	ENSPTRP00000039007
ENOG410WEWI	NPIP-like protein	ENSP00000432029, ENSP00000330634, ENSP00000331843, ENSP00000435325, ENSP00000433597, ENSP00000382101, ENSP00000389275, ENSP00000437133, ENSP00000431814	ENSPTRP00000043510, ENSPTRP00000061071
ENOG410WDRW	inositol polyphosphate-5-phosphatase J	ENSP00000384534	ENSPTRP00000055984
ENOG410WDR6	prostate transmembrane protein, androgen induced 1	ENSP00000345826	ENSPTRP00000060735
ENOG410WJHP	phosphatase 4, regulatory subunit	ENSP00000383402	ENSPTRP00000049511
ENOG410WJHV	dead end homolog 1 (zebrafish)	ENSP00000445366	ENSPTRP00000029617
ENOG410WJHH	chromosome 12 open reading frame 5	ENSP00000179259	ENSPTRP00000007780
ENOG410WJHN	LisH domain and HEAT repeat-containing protein	ENSP00000381198	ENSPTRP00000017116
ENOG410WJHM	protein phosphatase 4, regulatory subunit 4	ENSP00000305924	ENSPTRP00000052513
ENOG410WJHA	microtubule associated serine threonine kinase-like	ENSP00000365107	ENSPTRP00000004033
ENOG410VC47	Meningioma expressed antigen 5 (Hyaluronidase)	ENSP00000354850	ENSPTRP00000005060
ENOG410VC49	IQ motif containing H	ENSP00000336861	ENSPTRP00000040210
ENOG410VC4F	Matrix metallopeptidase 7 (Matrilysin, uterine)	ENSP00000260227	ENSPTRP00000007254
ENOG410VC4G	URB1 ribosome biogenesis 1 homolog (S. cerevisiae)	ENSP00000372199	ENSPTRP00000023842
ENOG410V509	zinc finger protein 385D	ENSP00000281523	ENSPTRP00000025336
ENOG410V502	PDZ and LIM domain	ENSP00000401437, ENSP00000321746, ENSP00000348099	ENSPTRP00000004722, ENSPTRP00000027982, ENSPTRP00000046350
ENOG410V503	Family with sequence similarity 76, member	ENSP00000351631, ENSP00000010299	ENSPTRP00000000725, ENSPTRP00000039139
ENOG410V500	Cortactin binding protein 2	ENSP00000160373	ENSPTRP00000033598
ENOG410V501	host cell factor	ENSP00000472568, ENSP00000309555, ENSP00000229330	ENSPTRP00000009133, ENSPTRP00000039494
ENOG410V507	histone H4 transcription factor	ENSP00000318085	ENSPTRP00000007489
ENOG410V504	Replication factor C (Activator 1) 4, 37kDa	ENSP00000296273	ENSPTRP00000027044
ENOG410V50I	RGM domain family, member	ENSP00000464212, ENSP00000452126, ENSP00000337014, ENSP00000308219	ENSPTRP00000044469, ENSPTRP00000012781, ENSPTRP00000029278
ENOG410V50M	2,3-bisphosphoglycerate mutase	ENSP00000342032	ENSPTRP00000033781
ENOG410V50B	ferredoxin-fold anticodon binding domain containing 1	ENSP00000460095, ENSP00000260257	ENSPTRP00000007343
ENOG410V50C	snail homolog 3 (Drosophila)	ENSP00000327968	ENSPTRP00000014425
ENOG410V50A	Coiled-coil domain containing 120	ENSP00000470294, ENSP00000416445	ENSPTRP00000037564
ENOG410V50E	Tectonin beta-propeller repeat containing 1	ENSP00000404923	ENSPTRP00000047817
ENOG410V50Z	NatA auxiliary subunit	ENSP00000296543, ENSP00000368716	ENSPTRP00000053299, ENSPTRP00000041158
ENOG410V50S	Carboxypeptidase	ENSP00000222482, ENSP00000462830, ENSP00000282957, ENSP00000181383, ENSP00000296046, ENSP00000461972, ENSP00000011292, ENSP00000297770, ENSP00000347549, ENSP00000222481	ENSPTRP00000009957, ENSPTRP00000033732, ENSPTRP00000026696, ENSPTRP00000026701, ENSPTRP00000033733, ENSPTRP00000033734, ENSPTRP00000033736, ENSPTRP00000034781
ENOG410V50U	Tocopherol (Alpha) transfer protein-like	ENSP00000262605	ENSPTRP00000023228
ENOG410V4QM	Immunoglobulin superfamily member 8	ENSP00000316664	ENSPTRP00000051684
ENOG410V4QI	Tetraspanin 15	ENSP00000362387	ENSPTRP00000004457
ENOG410V4QE	cholinergic receptor, nicotinic	ENSP00000357461, ENSP00000359285, ENSP00000261751, ENSP00000315602, ENSP00000276410, ENSP00000385026	ENSPTRP00000002339, ENSPTRP00000034420, ENSPTRP00000034613, ENSPTRP00000023650, ENSPTRP00000012561
ENOG410V4QA	Cell surface proteoglycan that bears heparan sulfate (By similarity)	ENSP00000377836, ENSP00000366267	ENSPTRP00000010130, ENSPTRP00000038390
ENOG410V4QP	zinc finger (CCCH type), RNA-binding motif and serine arginine rich	ENSP00000303015, ENSP00000375133	ENSPTRP00000029330, ENSPTRP00000044230
ENOG410V4QQ	MAP kinase interacting serine threonine kinase	ENSP00000361014, ENSP00000250896	ENSPTRP00000017370
ENOG410V4Q4	lymphocyte-specific protein tyrosine kinase	ENSP00000337825, ENSP00000365012	ENSPTRP00000000842, ENSPTRP00000022925
ENOG410WEAW	Unknown	ENSP00000384340	ENSPTRP00000059094
ENOG410WEAF	G antigen	ENSP00000469827, ENSP00000371117, ENSP00000416249, ENSP00000409832, ENSP00000385415, ENSP00000371119, ENSP00000469422, ENSP00000397103, ENSP00000371128, ENSP00000384742, ENSP00000391465, ENSP00000371141, ENSP00000471247, ENSP00000404123, ENSP00000472334, ENSP00000471284, ENSP00000371170, ENSP00000469479, ENSP00000473002, ENSP00000470925, ENSP00000371127, ENSP00000472342, ENSP00000471645, ENSP00000371144, ENSP00000473107, ENSP00000470147, ENSP00000386110, ENSP00000384214, ENSP00000355421	ENSPTRP00000047418, ENSPTRP00000037593, ENSPTRP00000037589
ENOG410WEA0	ZNF503 antisense RNA 2	ENSP00000412272	ENSPTRP00000061188
ENOG410VB49	sodium channel, voltage-gated, type IV, beta subunit	ENSP00000322460	ENSPTRP00000007432
ENOG410VB45	t-box transcription factor	ENSP00000386170	ENSPTRP00000032592
ENOG410VB47	coiled-coil domain containing 136	ENSP00000297788	ENSPTRP00000033683
ENOG410VB46	nuclear receptor subfamily 0 group B member 2	ENSP00000254227	ENSPTRP00000000693
ENOG410VB4C	ddb1 and cul4 associated factor	ENSP00000355114, ENSP00000353128	ENSPTRP00000042051, ENSPTRP00000038312
ENOG410VB4D	vacuolar protein sorting 45 homolog (S. cerevisiae)	ENSP00000358126, ENSP00000463916	ENSPTRP00000002113
ENOG410V66I	kiaa1377	ENSP00000263468	ENSPTRP00000007244
ENOG410V661	guanine nucleotide exchange factor (GEF)	ENSP00000354718	ENSPTRP00000029088
ENOG410V6IH	Lactase-like	ENSP00000264162, ENSP00000343490, ENSP00000471397	ENSPTRP00000012316, ENSPTRP00000021379
ENOG410V6IX	phospholipase A2, group XV	ENSP00000264005, ENSP00000219345	ENSPTRP00000014085, ENSPTRP00000014105
ENOG410V6IT	neuron-derived neurotrophic factor	ENSP00000369014	ENSPTRP00000028171
ENOG410VMUT	chromosome 4 open reading frame 40	ENSP00000343172	ENSPTRP00000055884
ENOG410VMUH	H1 histone family, member 0	ENSP00000344504	ENSPTRP00000061378
ENOG410VMUJ	Has antibacterial activity	ENSP00000334681, ENSP00000347810	ENSPTRP00000055816
ENOG410VMUD	urotensin 2	ENSP00000054668	ENSPTRP00000055352
ENOG410VMUB	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa	ENSP00000330787	ENSPTRP00000011334
ENOG410VMU3	Unknown	ENSP00000437400	ENSPTRP00000060276
ENOG410V6R7	Ankyrin repeat domain 22	ENSP00000360998	ENSPTRP00000004757
ENOG410VWA6	Inherit from KOG: solute carrier family 5	ENSP00000463576, ENSP00000415398, ENSP00000341237	ENSPTRP00000024298
ENOG410VJEZ	HIG1 hypoxia inducible domain family, member 1B	ENSP00000253410	ENSPTRP00000015789
ENOG410VI23	protease, serine 57	ENSP00000327386	ENSPTRP00000017266
ENOG410VI2W	divergent-paired related homeobox	ENSP00000365838	ENSPTRP00000048502
ENOG410VI2Q	A kinase (PRKA) anchor protein 14	ENSP00000360485	ENSPTRP00000038272
ENOG410VI2S	Interleukin 11	ENSP00000264563	ENSPTRP00000019785
ENOG410V6IB	solute carrier family 30 (zinc transporter), member	ENSP00000363394, ENSP00000233535, ENSP00000415011	ENSPTRP00000035104, ENSPTRP00000020201, ENSPTRP00000052651
ENOG410V6IF	Neuron navigator 1	ENSP00000356265	ENSPTRP00000058744
ENOG410V6IG	Solute carrier family 43 member	ENSP00000301335	ENSPTRP00000014547
ENOG410V6ID	AF4 FMR2 family, member	ENSP00000472279, ENSP00000265343, ENSP00000359489, ENSP00000378578, ENSP00000348793	ENSPTRP00000027923, ENSPTRP00000054451, ENSPTRP00000021043, ENSPTRP00000029475
ENOG410V6IZ	Non-SMC condensin II complex, subunit D3	ENSP00000433681	ENSPTRP00000007685
ENOG410V6IY	WNT1 inducible signaling pathway protein 1	ENSP00000250160	ENSPTRP00000035228
ENOG410V6IP	Cyclin-dependent kinase	ENSP00000338673, ENSP00000464036, ENSP00000384442	ENSPTRP00000014478
ENOG410V6IU	nucleoporin 98kDa	ENSP00000316032	ENSPTRP00000041699
ENOG410V6I8	breast carcinoma amplified sequence 1	ENSP00000379290	ENSPTRP00000023464
ENOG410V6I9	RNA methyltransferase like 1	ENSP00000306080	ENSPTRP00000014527
ENOG410V6I3	DEAD (Asp-Glu-Ala-Asp) box polypeptide	ENSP00000449488, ENSP00000448893, ENSP00000242776, ENSP00000449135, ENSP00000449305, ENSP00000379475, ENSP00000450155, ENSP00000449046	ENSPTRP00000054521, ENSPTRP00000018068
ENOG410VBT8	Retrotransposon gag domain containing 4	ENSP00000418667	ENSPTRP00000060589
ENOG410VBT1	Macrophage scavenger receptor 1	ENSP00000262101	ENSPTRP00000034258
ENOG410VBT7	peter pan homolog (Drosophila)	ENSP00000377385, ENSP00000450710	ENSPTRP00000041462
ENOG410VBTI	zinc finger protein 36, C3H type, homolog (mouse)	ENSP00000248673	ENSPTRP00000018802
ENOG410VBTJ	family with sequence similarity 71, member C	ENSP00000315247	ENSPTRP00000009077
ENOG410VBTM	peptidoglycan recognition protein	ENSP00000345968	ENSPTRP00000018135
ENOG410VBTB	R-spondin 3	ENSP00000349131	ENSPTRP00000031716
ENOG410VBTY	myoneurin	ENSP00000326240	ENSPTRP00000026852
ENOG410VBTQ	prosaposin-like 1 (gene pseudogene)	ENSP00000317445	ENSPTRP00000053714
ENOG410VBTS	RAE1 RNA export 1 homolog (S. pombe)	ENSP00000360286	ENSPTRP00000052014
ENOG410VBTT	TSPY-like 4	ENSP00000410943	ENSPTRP00000057488
ENOG410WC3V	disrupted in renal carcinoma 1	ENSP00000307860	ENSPTRP00000021757
ENOG410WC3P	Unknown	ENSP00000448021, ENSP00000449947	ENSPTRP00000056924
ENOG410WC3A	Spermatogenesis associated 12	ENSP00000335392	ENSPTRP00000025983
ENOG410WC36	chromosome 10 open reading frame 40	ENSP00000391066	ENSPTRP00000061068
ENOG410WC30	Unknown	ENSP00000435481	ENSPTRP00000061112
ENOG410VKW5	glutaredoxin 2	ENSP00000356410	ENSPTRP00000051386
ENOG410VKWP	Xg blood group	ENSP00000411004	ENSPTRP00000047503
ENOG410VKWW	chromosome 19 open reading frame 69	ENSP00000367429	ENSPTRP00000048694
ENOG410VKWJ	autophagy related 12	ENSP00000425107	ENSPTRP00000048113
ENOG410V57S	X-ray repair complementing defective repair in Chinese hamster cells 2	ENSP00000352271	ENSPTRP00000042785
ENOG410WCK2	Neurogenic differentiation factor	ENSP00000295108, ENSP00000242994	ENSPTRP00000021721
ENOG410WCKV	Ral GEF with PH domain and SH3 binding motif	ENSP00000259351	ENSPTRP00000036542
ENOG410V8J1	siah E3 ubiquitin protein ligase	ENSP00000322457, ENSP00000383256, ENSP00000349156	ENSPTRP00000013820, ENSPTRP00000060405, ENSPTRP00000026742
ENOG410WH4J	methyltransferase like 7A	ENSP00000331787	ENSPTRP00000008442
ENOG410WH4Z	zinc finger SWIM-type containing 8	ENSP00000381693	ENSPTRP00000056825
ENOG410WE6E	EPM2A (Laforin) interacting protein 1	ENSP00000406027	ENSPTRP00000061329
ENOG410VA8B	SH3 and cysteine rich domain 3	ENSP00000329200	ENSPTRP00000008716
ENOG410VA8V	Zinc finger and BTB domain containing	ENSP00000307858, ENSP00000406955	ENSPTRP00000051022, ENSPTRP00000014816
ENOG410VDDS	interleukin 12 receptor, beta 1	ENSP00000403103	ENSPTRP00000046039
ENOG410V8X7	Hexamethylene bis-acetamide inducible	ENSP00000328773, ENSP00000302276	ENSPTRP00000060438, ENSPTRP00000015808
ENOG410V8X6	Polymerase I and transcript release factor	ENSP00000349541	ENSPTRP00000059770
ENOG410V8X4	peptidase D	ENSP00000244137	ENSPTRP00000058478
ENOG410V8X3	HEAT repeat containing	ENSP00000437968, ENSP00000233099	ENSPTRP00000010592, ENSPTRP00000020315
ENOG410V8X2	growth arrest and DNA-damage-inducible, alpha	ENSP00000360025	ENSPTRP00000052205
ENOG410V8X0	F-box protein 4	ENSP00000281623	ENSPTRP00000028852
ENOG410V8X9	autophagy related 4B, cysteine peptidase	ENSP00000361306, ENSP00000384259	ENSPTRP00000038132, ENSPTRP00000022479
ENOG410V8XW	Dual specificity phosphatase 23	ENSP00000357087	ENSPTRP00000002575
ENOG410V8XV	Phospholipase A2, group IVA (Cytosolic, calcium-dependent)	ENSP00000356436	ENSPTRP00000002991
ENOG410V8XT	membrane-associated ring finger (C3HC4)	ENSP00000274056, ENSP00000317087, ENSP00000459713	ENSPTRP00000028432, ENSPTRP00000028430
ENOG410V8XR	TELO2 interacting protein 1	ENSP00000362546	ENSPTRP00000023146
ENOG410V8XQ	regucalcin (senescence marker protein-30)	ENSP00000253303	ENSPTRP00000037481
ENOG410V8XZ	CD53 molecule	ENSP00000271324	ENSPTRP00000001879
ENOG410V8XY	Coiled-coil domain containing 27	ENSP00000294600	ENSPTRP00000052918
ENOG410V8XX	Keratin 10	ENSP00000269576	ENSPTRP00000015566
ENOG410V8XF	thyroid hormone receptor interactor 13	ENSP00000166345	ENSPTRP00000028622
ENOG410V8XE	RAD52 motif 1	ENSP00000293273	ENSPTRP00000015408
ENOG410V8XD	HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1	ENSP00000255631	ENSPTRP00000019775
ENOG410V8XB	dynactin 2 (p50)	ENSP00000408910	ENSPTRP00000040891
ENOG410V8XJ	paired related homeobox 1	ENSP00000239461	ENSPTRP00000002776
ENOG410V8XH	fuzzy homolog	ENSP00000313309	ENSPTRP00000019429
ENOG410V7XE	Zinc finger and BTB domain containing 22	ENSP00000388191, ENSP00000396292, ENSP00000393514, ENSP00000372683, ENSP00000404403	ENSPTRP00000030817
ENOG410V975	Mitochondrial ribosomal protein L9	ENSP00000357823	ENSPTRP00000002210
ENOG410V972	F-box protein 47	ENSP00000367319	ENSPTRP00000053032
ENOG410V97F	Transmembrane component of the tectonic-like complex, a complex localized at the transition zone of primary cilia and acting as a barrier that prevents diffusion of transmembrane proteins between the cilia and plasma membranes. Required for ciliogenesis and sonic hedgehog SHH signaling	ENSP00000381184	ENSPTRP00000054468
ENOG410V97E	calcium calmodulin-dependent protein kinase	ENSP00000282356	ENSPTRP00000029317
ENOG410V97C	endothelin receptor type A	ENSP00000315011	ENSPTRP00000028311
ENOG410V97B	family with sequence similarity 187, member B	ENSP00000323355	ENSPTRP00000018549
ENOG410V6VK	Transmembrane protein 52B	ENSP00000298530	ENSPTRP00000050448
ENOG410V6VJ	ADP-ribosylation factor-like	ENSP00000375057, ENSP00000349250	ENSPTRP00000039117, ENSPTRP00000022350
ENOG410V6VI	ATP-binding cassette, sub-family F (GCN20), member	ENSP00000413319, ENSP00000412553, ENSP00000373082, ENSP00000411471, ENSP00000411327, ENSP00000414373, ENSP00000389065, ENSP00000313603	ENSPTRP00000030585, ENSPTRP00000026982
ENOG410V6VB	Phosphatidic acid phosphatase type 2 domain containing	ENSP00000381302, ENSP00000392553	ENSPTRP00000056052, ENSPTRP00000034531
ENOG410V6VD	helicase 1	ENSP00000457868, ENSP00000259008, ENSP00000359035	ENSPTRP00000016108, ENSPTRP00000044957
ENOG410V6VZ	Tetratricopeptide repeat domain 12	ENSP00000460362, ENSP00000433757	ENSPTRP00000007372
ENOG410V6VY	anaphase promoting complex subunit 4	ENSP00000318775	ENSPTRP00000027484
ENOG410V6VV	thrombospondin	ENSP00000355751, ENSP00000260356, ENSP00000339730, ENSP00000357362, ENSP00000222271	ENSPTRP00000011794, ENSPTRP00000029161, ENSPTRP00000057441, ENSPTRP00000002388
ENOG410V6VU	spermatogenesis associated 5-like 1	ENSP00000305494	ENSPTRP00000012026
ENOG410V6V3	synaptotagmin	ENSP00000255224, ENSP00000357307	ENSPTRP00000016976, ENSPTRP00000002432
ENOG410V6V7	B-cell translocation gene 4	ENSP00000348300	ENSPTRP00000007334
ENOG410VE0W	Olfactory receptor	ENSP00000321729	ENSPTRP00000005698
ENOG410VE0M	GINS complex subunit 3 (Psf3 homolog)	ENSP00000401018	ENSPTRP00000053523
ENOG410WC5D	family with sequence similarity 26, member D	ENSP00000357586	ENSPTRP00000031645
ENOG410VE08	Carnosine synthase 1	ENSP00000389009	ENSPTRP00000047881
ENOG410VE07	Phosphatidylinositol glycan anchor biosynthesis, class L	ENSP00000225609	ENSPTRP00000015009
ENOG410VBI8	family with sequence similarity 92, member A1	ENSP00000429367	ENSPTRP00000060143
ENOG410VBI9	RING finger protein 222	ENSP00000343799	ENSPTRP00000014892
ENOG410VBI6	codanin 1	ENSP00000348564	ENSPTRP00000046824
ENOG410VBI4	RELT-like 2	ENSP00000297164	ENSPTRP00000029653
ENOG410VBI5	Ligase III, DNA, ATP-dependent	ENSP00000367787	ENSPTRP00000015364
ENOG410VBI2	Neuron-specific protein family member	ENSP00000381049	ENSPTRP00000027342
ENOG410VBI1	apelin receptor	ENSP00000257254	ENSPTRP00000006308
ENOG410VBIN	Ewing tumor-associated antigen 1	ENSP00000272342	ENSPTRP00000020600
ENOG410VBIM	ERI1 exoribonuclease family member 3	ENSP00000361331	ENSPTRP00000001141
ENOG410VBIJ	Inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma	ENSP00000358622, ENSP00000471166	ENSPTRP00000061184
ENOG410VBIH	phosphatidylinositol glycan anchor biosynthesis class U	ENSP00000217446	ENSPTRP00000023012
ENOG410VBII	zinc finger protein 318	ENSP00000354964	ENSPTRP00000050105
ENOG410VBIG	NFU1 iron-sulfur cluster scaffold homolog	ENSP00000387219	ENSPTRP00000020633
ENOG410VBID	Tetratricopeptide repeat domain 14	ENSP00000296015	ENSPTRP00000026935
ENOG410VBIE	Cyclin J	ENSP00000377547, ENSP00000388902	ENSPTRP00000029878, ENSPTRP00000004881
ENOG410VBIB	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites	ENSP00000217188, ENSP00000217185	ENSPTRP00000023666
ENOG410VBIA	Tissue factor pathway inhibitor (Lipoprotein-associated coagulation inhibitor)	ENSP00000233156	ENSPTRP00000021752
ENOG410VBIX	Family with sequence similarity 100, member B	ENSP00000331298	ENSPTRP00000016449
ENOG410VBIV	C1GALT1-specific chaperone 1	ENSP00000304364	ENSPTRP00000047277
ENOG410VBIW	olfactory receptor, family 9, subfamily Q, member	ENSP00000334934, ENSP00000308714	ENSPTRP00000006343, ENSPTRP00000006344
ENOG410VBIT	family with sequence similarity 171, member A2	ENSP00000293443	ENSPTRP00000015778
ENOG410VBIU	Leucine zipper transcription factor-like 1	ENSP00000296135	ENSPTRP00000025586
